0.051749625999999965 -1.0922730340000013 
1.757181 -0.574882 0
-1.415069 -1.334518 0
1.358793 -1.298014 0
1.274233 -0.900829 0
1.309022 -1.124469 0
1.577081 -0.371964 0
-1.320212 -1.412346 0
-1.718445 -0.388723 0
1.796066 -0.016532 0
-1.687226 -0.710239 0
0.467559 -1.586733 0
-0.073598 -1.914745 0
1.504107 -0.399662 0
-1.190474 -1.094872 0
-0.672019 -1.565179 0
-0.592864 -1.577651 0
1.540479 -1.174352 0
-1.560641 -0.584289 0
-0.552366 -1.854381 0
0.668853 -1.422326 0
0.008525 -1.723827 0
-1.566243 -0.650491 0
0.558539 -1.571734 0
-1.453591 -0.672614 0
-1.030054 -1.483281 0
-0.533389 -1.659286 0
-0.433365 -1.629555 0
-1.054801 -1.639245 0
-0.292768 -1.899551 0
0.367722 -1.791486 0
1.763692 -0.223244 0
-0.861986 -1.630256 0
1.640696 -0.538581 0
-1.791145 -0.057825 0
1.797752 -0.216696 0
0.321906 -1.499371 0
1.56367 -0.770138 0
-0.397953 -1.616761 0
-0.426052 -1.575558 0
-0.923797 -1.24438 0
-1.096698 -1.348373 0
1.327382 -1.143351 0
1.361512 -1.056479 0
-0.037194 -1.562465 0
0.132974 -1.782594 0
0.288976 -1.717594 0
-1.196789 -1.375582 0
0.15498 -1.782555 0
1.55726 -0.999805 0
1.668411 -0.9464 0
1.610462 -0.87623 0
-1.524242 -0.575052 0
-1.413647 -0.783857 0
-1.604108 -0.172357 0
-1.359327 -0.897538 0
-1.522781 -0.723548 0
0.933538 -1.485015 0
0.999107 -1.240768 0
1.704009 -0.194081 0
1.53256 -0.190563 0
0.248221 -1.653549 0
-1.151205 -1.537719 0
1.678971 -0.131204 0
0.582774 -1.802602 0
-1.552495 -0.078252 0
1.736502 -0.825221 0
0.441059 -1.890789 0
0.425364 -1.755746 0
0.999846 -1.649427 0
0.351 -1.559744 0
-1.55857 -1.121606 0
1.495222 -0.387884 0
1.855329 -0.191417 0
1.655304 -0.663608 0
0.973898 -1.220694 0
1.516323 -0.363115 0
-0.490846 -1.823011 0
-1.36252 -1.206252 0
1.18839 -1.006286 0
-1.833831 -0.207748 0
1.483619 -0.410322 0
