1.9057089340000022 0.5532281879999993 
0.894597 0.47909 0
0.836626 0.540135 0
1.855159 0.982728 0
2.410516 1.021271 0
2.643185 0.487639 0
1.198874 0.756141 0
1.788551 1.019807 0
2.118463 0.86992 0
2.979587 0.582003 0
1.946581 1.028924 0
0.473964 0.376703 0
2.869189 0.648587 0
1.977598 1.106632 0
1.027137 0.794693 0
0.852283 0.756129 0
3.136719 -0.023827 0
2.515197 0.874031 0
2.479713 0.786713 0
3.086994 0.205883 0
1.98656 1.177823 0
2.647549 0.605225 0
1.396442 1.051374 0
0.668724 0.514575 0
2.877444 0.369971 0
0.64958 0.222452 0
1.817292 1.116186 0
0.509432 0.125016 0
2.34509 0.832575 0
2.868153 0.685312 0
2.259986 0.94165 0
2.92879 0.547056 0
2.333228 0.908721 0
1.923042 0.938077 0
3.035266 0.065545 0
0.566261 -0.048659 0
0.485897 0.190118 0
1.262141 0.750204 0
3.092696 0.264297 0
2.051553 0.997196 0
1.850955 0.931083 0
2.00475 0.911766 0
2.170109 0.964672 0
2.542225 0.58404 0
0.582833 -0.121728 0
2.435599 0.737662 0
1.308102 0.922031 0
1.327404 0.901214 0
1.119955 0.766484 0
2.856469 0.537574 0
0.607898 0.376139 0
3.12038 -0.01231 0
2.693397 0.584809 0
1.887692 1.063596 0
1.045992 0.853774 0
1.139584 0.762489 0
2.971015 0.14083 0
0.361632 -0.103219 0
1.344226 0.770053 0
2.725293 0.592792 0
3.090417 0.030273 0
0.494546 -0.206699 0
2.569734 0.895766 0
3.198546 0.098663 0
1.551103 0.862322 0
0.441627 0.2043 0
2.061124 0.867822 0
3.270117 -0.019549 0
2.39822 0.793057 0
3.042072 -0.212608 0
1.190391 0.899367 0
1.153477 0.976473 0
1.668259 1.095768 0
2.985372 -0.263359 0
3.078182 0.226759 0
1.159093 0.821444 0
1.029079 0.612224 0
2.595748 0.823317 0
3.057481 -0.11533 0
3.195585 0.217265 0
2.53195 0.861128 0
2.891162 0.314307 0
1.17732 0.719809 0
1.086535 0.71432 0
2.323202 0.967391 0
1.451486 1.050419 0
0.720338 0.719253 0
0.544052 -0.276873 0
2.284107 0.941645 0
2.900151 0.54754 0
1.971591 0.935572 0
2.760501 0.479452 0
0.567747 -0.182083 0
2.327784 0.788755 0
2.847367 0.484803 0
2.625238 0.76692 0
0.833669 0.39261 0
2.529822 0.610584 0
1.873389 1.044998 0
3.093446 0.174109 0
3.10313 -0.214353 0
3.075219 0.253807 0
0.795046 0.782152 0
1.362534 0.926385 0
0.915761 0.528311 0
0.505287 -0.270632 0
2.975319 0.337889 0
2.540857 0.729323 0
3.155464 -0.17534 0
2.055069 1.040722 0
2.213653 1.035379 0
0.693523 0.299496 0
1.108927 0.892651 0
0.727225 0.558718 0
0.46045 -0.173207 0
0.513915 0.240406 0
1.119773 0.885964 0
2.934702 0.069973 0
0.375157 -0.190716 0
3.019415 -0.189829 0
1.075583 0.717995 0
3.036911 0.133687 0
2.584178 0.749855 0
2.209361 0.82336 0
3.160512 0.02099 0
3.10072 -0.274876 0
0.587925 -0.219753 0
1.596237 0.930857 0
0.796207 0.462889 0
2.088309 0.985077 0
0.656344 0.404706 0
0.729797 0.651898 0
2.819594 0.618371 0
1.523861 0.929849 0
0.813438 0.499488 0
2.598409 0.751378 0
0.681082 0.076383 0
1.741385 0.932117 0
2.197063 0.93677 0
3.091652 0.170022 0
3.058301 0.399367 0
0.334667 -0.250157 0
0.787727 0.519306 0
3.056859 -0.241483 0
0.737512 0.743334 0
2.845647 0.368477 0
0.712081 0.399883 0
1.234775 0.779705 0
0.433919 0.1522 0
1.008811 0.889493 0
1.113124 0.988766 0
1.807664 0.934041 0
2.606957 0.898282 0
2.556625 0.807275 0
2.617147 0.576172 0
1.927594 0.87982 0
3.003196 -0.08514 0
1.522712 1.048314 0
2.935967 0.258456 0
1.449523 1.127167 0
1.912534 1.173718 0
3.271144 -0.210341 0
2.862336 0.202858 0
0.537704 0.094801 0
3.111041 -0.085626 0
1.100086 0.90832 0
2.346189 0.754431 0
1.194445 0.800082 0
1.042943 0.73084 0
2.971048 -0.207461 0
1.772537 0.858228 0
2.954311 0.431861 0
3.039359 0.013921 0
2.052041 0.912156 0
0.708385 0.499492 0
0.767175 0.688618 0
2.998329 0.090914 0
2.997849 0.527987 0
3.070997 -0.259158 0
2.528742 0.999 0
1.936058 1.050049 0
2.813753 0.748004 0
2.817559 0.342899 0
0.892366 0.605376 0
2.92138 0.132071 0
0.981989 0.7069 0
2.774819 0.550149 0
0.407648 -0.059801 0
1.457127 0.999635 0
1.022645 0.68036 0
0.737806 0.531585 0
1.760962 0.925746 0
0.599614 -0.048371 0
0.409283 0.17561 0
0.97353 0.91857 0
1.141994 0.755274 0
1.279425 0.754724 0
2.769092 0.321366 0
1.746002 0.975604 0
3.068994 -0.139536 0
1.764458 0.917922 0
1.031616 0.880199 0
3.11543 -0.246048 0
3.176019 -0.235342 0
1.324055 0.805667 0
3.145178 0.336244 0
0.516094 0.013599 0
2.976822 0.549354 0
2.949605 0.422259 0
