-2.924916339914151 0.343411622317597 
-3.0640741810654912 0.49222057235421324 
-1.9338349289232937 0.9631060851513068 
-1.146387986826334 0.800349710778459 
-1.0121737582938346 0.554052646273155 
-2.4046501451791675 0.8912195755448801 
-2.1615647901094643 1.0382281944129852 
-1.4359950585666514 0.9276224484972897 
-0.7185417750556907 0.3017887375119377 
-1.665040398573347 0.9401553611235101 
-3.2121679716650995 -0.022459582139446176 
-0.8288803901282676 0.6168038315672119 
-1.8048440184442787 1.121280096230953 
-2.603998383345845 0.8324777941985648 
-2.825036970300114 0.6679808142180057 
-0.6022204084177657 -0.1013644590802812 
-2.805403 0.47909 0
-2.863374 0.540135 14
-1.844841 0.982728 2
-1.289484 1.021271 7
-1.056815 0.487639 4
-2.501126 0.756141 13
-1.911449 1.019807 2
-1.581537 0.86992 9
-0.720413 0.582003 11
-1.753419 1.028924 12
-3.226036 0.376703 1
-0.830811 0.648587 11
-1.722402 1.106632 12
-2.672863 0.794693 13
-2.847717 0.756129 14
-0.563281 -0.023827 15
-1.184803 0.874031 3
-1.220287 0.786713 3
-0.613006 0.205883 8
-1.71344 1.177823 12
-1.052451 0.605225 4
-2.303558 1.051374 6
-3.031276 0.514575 1
-0.822556 0.369971 8
-3.05042 0.222452 0
-1.882708 1.116186 12
-3.190568 0.125016 10
-1.35491 0.832575 7
-0.831847 0.685312 11
-1.440014 0.94165 7
-0.77121 0.547056 11
-1.366772 0.908721 7
-1.776958 0.938077 9
-0.664734 0.065545 15
-3.133739 -0.048659 10
-3.214103 0.190118 10
-2.437859 0.750204 5
-0.607304 0.264297 8
-1.648447 0.997196 9
-1.849045 0.931083 2
-1.69525 0.911766 9
-1.529891 0.964672 7
-1.157775 0.58404 4
-3.117167 -0.121728 10
-1.264401 0.737662 3
-2.391898 0.922031 5
-2.372596 0.901214 5
-2.580045 0.766484 13
-0.843531 0.537574 11
-3.092102 0.376139 1
-0.57962 -0.01231 15
-1.006603 0.584809 4
-1.812308 1.063596 12
-2.654008 0.853774 13
-2.560416 0.762489 13
-0.728985 0.14083 8
-3.338368 -0.103219 10
-2.355774 0.770053 5
-0.974707 0.592792 4
-0.609583 0.030273 15
-3.205454 -0.206699 10
-1.130266 0.895766 3
-0.501454 0.098663 15
-2.148897 0.862322 6
-3.258373 0.2043 10
-1.638876 0.867822 9
-0.429883 -0.019549 15
-1.30178 0.793057 3
-0.657928 -0.212608 15
-2.509609 0.899367 5
-2.546523 0.976473 13
-2.031741 1.095768 6
-0.714628 -0.263359 15
-0.621818 0.226759 8
-2.540907 0.821444 13
-2.670921 0.612224 14
-1.104252 0.823317 3
-0.642519 -0.11533 15
-0.504415 0.217265 8
-1.16805 0.861128 3
-0.808838 0.314307 8
-2.52268 0.719809 13
-2.613465 0.71432 13
-1.376798 0.967391 7
-2.248514 1.050419 6
-2.979662 0.719253 14
-3.155948 -0.276873 10
-1.415893 0.941645 7
-0.799849 0.54754 11
-1.728409 0.935572 9
-0.939499 0.479452 4
-3.132253 -0.182083 10
-1.372216 0.788755 7
-0.852633 0.484803 11
-1.074762 0.76692 3
-2.866331 0.39261 0
-1.170178 0.610584 4
-1.826611 1.044998 12
-0.606554 0.174109 8
-0.59687 -0.214353 15
-0.624781 0.253807 8
-2.904954 0.782152 14
-2.337466 0.926385 5
-2.784239 0.528311 14
-3.194713 -0.270632 10
-0.724681 0.337889 8
-1.159143 0.729323 3
-0.544536 -0.17534 15
-1.644931 1.040722 9
-1.486347 1.035379 7
-3.006477 0.299496 0
-2.591073 0.892651 13
-2.972775 0.558718 1
-3.23955 -0.173207 10
-3.186085 0.240406 10
-2.580227 0.885964 13
-0.765298 0.069973 15
-3.324843 -0.190716 10
-0.680585 -0.189829 15
-2.624417 0.717995 13
-0.663089 0.133687 8
-1.115822 0.749855 3
-1.490639 0.82336 7
-0.539488 0.02099 15
-0.59928 -0.274876 15
-3.112075 -0.219753 10
-2.103763 0.930857 6
-2.903793 0.462889 0
-1.611691 0.985077 9
-3.043656 0.404706 1
-2.970203 0.651898 14
-0.880406 0.618371 11
-2.176139 0.929849 6
-2.886562 0.499488 0
-1.101591 0.751378 3
-3.018918 0.076383 10
-1.958615 0.932117 2
-1.502937 0.93677 7
-0.608348 0.170022 8
-0.641699 0.399367 8
-3.365333 -0.250157 10
-2.912273 0.519306 1
-0.643141 -0.241483 15
-2.962488 0.743334 14
-0.854353 0.368477 8
-2.987919 0.399883 0
-2.465225 0.779705 5
-3.266081 0.1522 10
-2.691189 0.889493 13
-2.586876 0.988766 13
-1.892336 0.934041 2
-1.093043 0.898282 3
-1.143375 0.807275 3
-1.082853 0.576172 4
-1.772406 0.87982 9
-0.696804 -0.08514 15
-2.177288 1.048314 6
-0.764033 0.258456 8
-2.250477 1.127167 6
-1.787466 1.173718 12
-0.428856 -0.210341 15
-0.837664 0.202858 8
-3.162296 0.094801 10
-0.588959 -0.085626 15
-2.599914 0.90832 13
-1.353811 0.754431 7
-2.505555 0.800082 13
-2.657057 0.73084 13
-0.728952 -0.207461 15
-1.927463 0.858228 2
-0.745689 0.431861 8
-0.660641 0.013921 15
-1.647959 0.912156 9
-2.991615 0.499492 1
-2.932825 0.688618 14
-0.701671 0.090914 8
-0.702151 0.527987 11
-0.629003 -0.259158 15
-1.171258 0.999 3
-1.763942 1.050049 12
-0.886247 0.748004 11
-0.882441 0.342899 8
-2.807634 0.605376 14
-0.77862 0.132071 8
-2.718011 0.7069 14
-0.925181 0.550149 4
-3.292352 -0.059801 10
-2.242873 0.999635 6
-2.677355 0.68036 14
-2.962194 0.531585 1
-1.939038 0.925746 2
-3.100386 -0.048371 10
-3.290717 0.17561 10
-2.72647 0.91857 13
-2.558006 0.755274 13
-2.420575 0.754724 5
-0.930908 0.321366 8
-1.953998 0.975604 2
-0.631006 -0.139536 15
-1.935542 0.917922 2
-2.668384 0.880199 13
-0.58457 -0.246048 15
-0.523981 -0.235342 15
-2.375945 0.805667 5
-0.554822 0.336244 8
-3.183906 0.013599 10
-0.723178 0.549354 11
-0.750395 0.422259 8
-2.518952 1.007044 5
-1.231871 0.743707 3
-2.089832 1.165783 6
-1.060643 0.942312 3
-1.506805 0.911847 7
-2.445341 0.884392 5
-0.757742 0.522609 11
-1.02134 0.645778 4
-1.266233 0.684205 3
-1.093995 0.768214 3
-3.36193 -0.161682 10
-1.534326 0.940389 7
-2.245465 1.116077 6
-2.786399 0.57317 14
-3.258076 0.21629 10
-0.856219 0.547739 11
-1.955746 1.104869 2
-1.249519 0.713141 3
-1.683252 1.140571 12
-0.865937 0.208999 8
-0.514846 0.227714 8
-1.900057 1.197661 12
-2.966463 0.290693 0
-3.149611 0.091737 10
-3.110113 0.479238 1
-1.70683 0.838228 9
-2.770773 0.778333 14
-1.011367 0.489903 4
-2.942117 0.293873 0
-0.909868 0.457715 4
-0.812444 0.266205 8
-2.33451 0.986902 5
-0.415353 -0.201576 15
-3.362009 0.033076 10
-0.792232 0.531928 11
-0.966177 0.543629 4
-3.065485 0.605639 1
-1.392949 0.807841 7
-1.456749 0.858149 7
-0.946976 0.774896 11
-0.535387 -0.003183 15
-3.03986 0.412315 1
-1.951992 1.16384 12
-0.746394 -0.122637 15
-3.115685 0.513653 1
-1.782977 1.146829 12
-3.299412 -0.12108 10
-2.259825 0.797649 5
-0.42699 -0.152152 15
-2.893724 0.776914 14
-0.624408 -0.040451 15
-0.704774 -0.295745 15
-0.688247 0.012675 15
-1.76674 1.054554 12
-3.073297 -0.189479 10
-1.042759 0.8771 3
-0.688354 0.262782 8
-2.738138 0.682913 14
-1.134169 0.70298 3
-0.583703 -0.015251 15
-0.73468 0.400596 8
-1.50516 1.091341 7
-0.868086 0.477595 11
-0.692078 0.082629 15
-0.634051 0.32191 8
-1.823558 0.905413 2
-3.310976 0.034471 10
-1.655365 0.916009 9
-3.129835 0.474987 1
-1.121372 0.71458 3
-2.210476 0.982551 6
-1.002845 0.804273 3
-2.718468 0.649299 14
-0.954304 0.611669 4
-2.599242 0.915991 13
-1.856103 0.91444 2
-2.414415 0.93497 5
-3.240939 -0.167056 10
-0.634888 0.454074 8
-0.676816 0.385574 8
-2.913293 0.753854 14
-0.801622 0.266352 8
-1.666767 1.167509 12
-1.653644 0.959571 9
-2.66185 0.835998 13
-2.96473 0.219011 0
-0.491923 -0.060415 15
-3.038601 0.195362 0
-2.817071 0.507855 14
-0.711632 0.349554 8
-2.659808 0.828884 13
-2.644422 0.752358 13
-3.307077 -0.115525 10
-1.210098 0.725421 3
-0.457816 0.037777 15
-0.450398 -0.074587 15
-2.50571 0.737197 13
-1.48884 0.795498 7
-1.992681 0.885967 2
-1.121885 0.649427 4
-3.18736 0.453528 1
-3.084014 -0.202915 10
-1.983424 0.906833 2
-2.850634 0.531738 14
-0.772414 0.215691 8
-2.848465 0.375876 0
-3.042411 -0.121954 10
-1.10014 0.821026 3
-2.089384 0.991231 6
-2.191676 0.859858 6
-2.612376 0.900721 13
-1.400792 0.774788 7
-1.943263 1.003543 2
-3.038274 0.178577 0
-1.66695 0.920484 9
-3.089658 0.099229 10
-1.082161 0.748437 3
-0.693324 0.05315 15
-1.134681 0.783793 3
-1.49485 0.785016 7
-0.992003 0.76408 3
-2.771966 0.744404 14
-0.612621 0.320171 8
-2.031325 1.183235 6
-3.111802 0.193665 10
-1.149759 0.946301 3
-0.791791 0.490332 11
-0.805485 0.329397 8
-1.464275 1.076516 7
-1.590634 0.858433 9
-1.724646 1.083935 12
-3.306111 -0.254022 10
-1.155528 0.680395 3
-2.30976 0.845066 5
-3.181881 0.251596 1
-2.542624 0.810814 13
-3.23815 -0.163064 10
-1.824308 1.141179 12
-3.36142 -0.141718 10
-1.560577 1.01696 9
-0.978221 0.447631 4
-0.80979 0.41914 8
-2.920018 0.670682 14
-1.002705 0.638198 4
-0.948744 0.8375 3
-2.319377 1.118696 6
-1.929238 1.121578 12
-0.652029 -0.030271 15
-3.070886 -0.262579 10
-0.713908 0.59604 11
-0.994818 0.827996 3
-2.690701 0.790149 13
-0.77898 0.645935 11
-3.010088 0.660834 1
-0.579186 0.008876 15
-0.770972 0.59103 11
-0.903164 0.721854 11
-3.165317 0.17828 10
-2.195982 0.901565 6
-0.699911 0.382407 8
-1.321919 0.936452 7
-2.771304 0.80834 14
-3.220502 0.277619 1
-1.830389 1.111386 12
-1.419178 0.961432 7
-3.067551 0.555655 1
-2.340506 0.970224 5
-2.543089 0.92182 13
-0.634969 -0.081688 15
-2.486135 0.876133 5
-1.893769 0.95418 2
-2.037 1.0032 2
-1.995393 1.168839 12
-3.232565 -0.19779 10
-2.20915 1.005885 6
-3.277061 0.283435 1
-1.98591 1.042013 2
-3.056271 0.615792 1
-0.746257 0.609035 11
-2.835366 0.43521 0
-0.707809 -0.229084 15
-1.962798 1.067869 2
-3.369646 -0.018603 10
-0.985382 0.755032 3
