1.6799654634464731 -0.7256226436031404 
-1.4994359161490813 -1.0799179281277778 
1.1101916692535203 -1.456356105321522 
1.3463085155728647 -1.0482353345383681 
0.999526222358221 -1.2226965879233105 
1.6809865358139613 -0.3698310400000034 
-1.0913371236851654 -1.4135406376496327 
-1.7086562474157196 -0.20116262224719297 
1.7244879890009206 -0.13037776489459246 
-1.564557850836303 -0.6267242925692393 
0.5098940078867185 -1.673907107187659 
0.04733429203935629 -1.7228436073345115 
1.5071547842650048 -0.48640465507246694 
-1.250634085342009 -0.978795065798051 
-0.7499881441303036 -1.5323433211431854 
-0.4286666862013819 -1.703377516782095 
1.757181 -0.574882 0
-1.415069 -1.334518 1
1.358793 -1.298014 3
1.274233 -0.900829 3
1.309022 -1.124469 3
1.577081 -0.371964 5
-1.320212 -1.412346 6
-1.718445 -0.388723 7
1.796066 -0.016532 8
-1.687226 -0.710239 9
0.467559 -1.586733 10
-0.073598 -1.914745 11
1.504107 -0.399662 12
-1.190474 -1.094872 13
-0.672019 -1.565179 14
-0.592864 -1.577651 14
1.540479 -1.174352 3
-1.560641 -0.584289 9
-0.552366 -1.854381 15
0.668853 -1.422326 10
0.008525 -1.723827 11
-1.566243 -0.650491 9
0.558539 -1.571734 10
-1.453591 -0.672614 9
-1.030054 -1.483281 6
-0.533389 -1.659286 15
-0.433365 -1.629555 15
-1.054801 -1.639245 6
-0.292768 -1.899551 15
0.367722 -1.791486 10
1.763692 -0.223244 8
-0.861986 -1.630256 14
1.640696 -0.538581 12
-1.791145 -0.057825 7
1.797752 -0.216696 8
0.321906 -1.499371 10
1.56367 -0.770138 0
-0.397953 -1.616761 15
-0.426052 -1.575558 15
-0.923797 -1.24438 6
-1.096698 -1.348373 6
1.327382 -1.143351 3
1.361512 -1.056479 3
-0.037194 -1.562465 11
0.132974 -1.782594 11
0.288976 -1.717594 10
-1.196789 -1.375582 6
0.15498 -1.782555 11
1.55726 -0.999805 3
1.668411 -0.9464 0
1.610462 -0.87623 0
-1.524242 -0.575052 9
-1.413647 -0.783857 9
-1.604108 -0.172357 7
-1.359327 -0.897538 13
-1.522781 -0.723548 9
0.933538 -1.485015 2
0.999107 -1.240768 4
1.704009 -0.194081 8
1.53256 -0.190563 8
0.248221 -1.653549 11
-1.151205 -1.537719 6
1.678971 -0.131204 8
0.582774 -1.802602 10
-1.552495 -0.078252 7
1.736502 -0.825221 0
0.441059 -1.890789 10
0.425364 -1.755746 10
0.999846 -1.649427 2
0.351 -1.559744 10
-1.55857 -1.121606 1
1.495222 -0.387884 12
1.855329 -0.191417 8
1.655304 -0.663608 0
0.973898 -1.220694 4
1.516323 -0.363115 12
-0.490846 -1.823011 15
-1.36252 -1.206252 1
1.18839 -1.006286 3
-1.833831 -0.207748 7
1.483619 -0.410322 12
-1.644364 -0.457782 9
1.734938 -0.494017 5
-0.071709 -1.645725 11
0.885564 -1.591521 2
-0.562728 -1.611124 15
-1.173416 -1.503662 6
-1.046949 -1.385482 6
-1.582039 -0.096528 7
-0.695408 -1.64931 14
1.620848 -0.186217 8
0.390876 -1.476206 10
-1.570157 -0.628913 9
0.591189 -1.644959 10
-0.592797 -1.489156 14
1.257389 -0.823024 3
0.20426 -1.64096 11
-0.545507 -1.4356 14
0.276518 -1.759976 11
-0.163695 -1.766652 11
-0.128213 -1.777051 11
-1.699507 -0.122116 7
0.367088 -1.6974 10
0.177216 -1.819876 11
0.745414 -1.789083 10
-1.428297 -0.963476 1
-0.249243 -1.888115 15
-1.496772 -1.168367 1
1.506344 -0.45682 12
1.75959 -0.615505 0
1.163692 -1.238882 4
-0.5951 -1.677703 15
1.123914 -1.524692 2
-1.653198 -0.286334 7
-1.761234 -0.185407 7
-0.502002 -1.841709 15
-1.932561 -0.084044 7
1.887235 -0.081715 8
-1.482772 -0.259392 7
0.517963 -1.733806 10
-1.580422 -0.558797 9
-0.919641 -1.62483 14
-1.882813 -0.473378 7
-1.104609 -1.388977 6
-1.688466 -0.560052 9
1.368067 -1.239846 3
1.003006 -1.224293 4
-1.838002 -0.201284 7
-0.901671 -1.450084 14
1.836034 -0.057195 8
0.600224 -1.69188 10
0.343062 -1.839013 10
1.623432 -0.447689 5
0.671299 -1.708277 10
-0.367782 -1.631906 15
-1.656257 -0.24249 7
0.176964 -1.829092 11
-0.854473 -1.527447 14
0.633789 -1.789252 10
0.040058 -1.775853 11
0.687261 -1.735595 10
-0.672704 -1.499315 14
1.518582 -0.121733 8
-0.725332 -1.432865 14
-1.857392 -0.509551 9
1.267899 -1.106542 3
-1.051964 -1.468481 6
0.412597 -1.681352 10
-0.05313 -1.7532 11
-0.98965 -1.569274 6
-0.01902 -1.557005 11
1.145782 -1.430733 2
-0.325181 -1.786227 15
-1.276477 -0.851898 13
0.517625 -1.66833 10
1.363424 -0.630854 12
-1.111066 -1.476324 6
0.947986 -1.424566 2
1.345613 -0.941537 3
1.114734 -1.173477 4
1.268587 -1.307063 2
-0.686612 -1.567251 14
-0.689317 -1.729511 14
1.267709 -1.454369 2
-1.147662 -1.532714 6
1.375964 -0.610496 12
0.020359 -1.853289 11
1.229666 -0.945237 3
-0.179206 -1.511471 11
-0.73694 -1.797199 14
1.489567 -0.455183 12
1.669129 -0.017385 8
1.270616 -1.25087 3
-1.691756 -0.67282 9
1.347185 -0.857851 3
1.70635 -0.915041 0
1.369302 -1.337626 2
1.52611 -0.478487 12
-0.546508 -1.828265 15
0.644769 -1.525766 10
0.692303 -1.679223 10
1.571925 -0.592938 12
1.661731 -0.545705 12
-0.648031 -1.83909 15
-0.171457 -1.845488 11
