0.7750836600858384 0.343411622317597 
0.6359258189344853 0.49222057235421324 
1.766165071076689 0.9631060851513068 
2.5536120131736255 0.800349710778459 
2.6878262417061736 0.554052646273155 
1.2953498548208495 0.8912195755448801 
1.5384352098905425 1.0382281944129852 
2.2640049414333183 0.9276224484972897 
2.9814582249442387 0.3017887375119377 
2.0349596014266558 0.9401553611235101 
0.48783202833492134 -0.022459582139446176 
2.8711196098717076 0.6168038315672119 
1.8951559815557395 1.121280096230953 
1.096001616654166 0.8324777941985648 
0.874963029699844 0.6679808142180057 
3.097779591582217 -0.1013644590802812 
0.894597 0.47909 0
0.836626 0.540135 14
1.855159 0.982728 2
2.410516 1.021271 7
2.643185 0.487639 4
1.198874 0.756141 13
1.788551 1.019807 2
2.118463 0.86992 9
2.979587 0.582003 11
1.946581 1.028924 12
0.473964 0.376703 1
2.869189 0.648587 11
1.977598 1.106632 12
1.027137 0.794693 13
0.852283 0.756129 14
3.136719 -0.023827 15
2.515197 0.874031 3
2.479713 0.786713 3
3.086994 0.205883 8
1.98656 1.177823 12
2.647549 0.605225 4
1.396442 1.051374 6
0.668724 0.514575 1
2.877444 0.369971 8
0.64958 0.222452 0
1.817292 1.116186 12
0.509432 0.125016 10
2.34509 0.832575 7
2.868153 0.685312 11
2.259986 0.94165 7
2.92879 0.547056 11
2.333228 0.908721 7
1.923042 0.938077 9
3.035266 0.065545 15
0.566261 -0.048659 10
0.485897 0.190118 10
1.262141 0.750204 5
3.092696 0.264297 8
2.051553 0.997196 9
1.850955 0.931083 2
2.00475 0.911766 9
2.170109 0.964672 7
2.542225 0.58404 4
0.582833 -0.121728 10
2.435599 0.737662 3
1.308102 0.922031 5
1.327404 0.901214 5
1.119955 0.766484 13
2.856469 0.537574 11
0.607898 0.376139 1
3.12038 -0.01231 15
2.693397 0.584809 4
1.887692 1.063596 12
1.045992 0.853774 13
1.139584 0.762489 13
2.971015 0.14083 8
0.361632 -0.103219 10
1.344226 0.770053 5
2.725293 0.592792 4
3.090417 0.030273 15
0.494546 -0.206699 10
2.569734 0.895766 3
3.198546 0.098663 15
1.551103 0.862322 6
0.441627 0.2043 10
2.061124 0.867822 9
3.270117 -0.019549 15
2.39822 0.793057 3
3.042072 -0.212608 15
1.190391 0.899367 5
1.153477 0.976473 13
1.668259 1.095768 6
2.985372 -0.263359 15
3.078182 0.226759 8
1.159093 0.821444 13
1.029079 0.612224 14
2.595748 0.823317 3
3.057481 -0.11533 15
3.195585 0.217265 8
2.53195 0.861128 3
2.891162 0.314307 8
1.17732 0.719809 13
1.086535 0.71432 13
2.323202 0.967391 7
1.451486 1.050419 6
0.720338 0.719253 14
0.544052 -0.276873 10
2.284107 0.941645 7
2.900151 0.54754 11
1.971591 0.935572 9
2.760501 0.479452 4
0.567747 -0.182083 10
2.327784 0.788755 7
2.847367 0.484803 11
2.625238 0.76692 3
0.833669 0.39261 0
2.529822 0.610584 4
1.873389 1.044998 12
3.093446 0.174109 8
3.10313 -0.214353 15
3.075219 0.253807 8
0.795046 0.782152 14
1.362534 0.926385 5
0.915761 0.528311 14
0.505287 -0.270632 10
2.975319 0.337889 8
2.540857 0.729323 3
3.155464 -0.17534 15
2.055069 1.040722 9
2.213653 1.035379 7
0.693523 0.299496 0
1.108927 0.892651 13
0.727225 0.558718 1
0.46045 -0.173207 10
0.513915 0.240406 10
1.119773 0.885964 13
2.934702 0.069973 15
0.375157 -0.190716 10
3.019415 -0.189829 15
1.075583 0.717995 13
3.036911 0.133687 8
2.584178 0.749855 3
2.209361 0.82336 7
3.160512 0.02099 15
3.10072 -0.274876 15
0.587925 -0.219753 10
1.596237 0.930857 6
0.796207 0.462889 0
2.088309 0.985077 9
0.656344 0.404706 1
0.729797 0.651898 14
2.819594 0.618371 11
1.523861 0.929849 6
0.813438 0.499488 0
2.598409 0.751378 3
0.681082 0.076383 10
1.741385 0.932117 2
2.197063 0.93677 7
3.091652 0.170022 8
3.058301 0.399367 8
0.334667 -0.250157 10
0.787727 0.519306 1
3.056859 -0.241483 15
0.737512 0.743334 14
2.845647 0.368477 8
0.712081 0.399883 0
1.234775 0.779705 5
0.433919 0.1522 10
1.008811 0.889493 13
1.113124 0.988766 13
1.807664 0.934041 2
2.606957 0.898282 3
2.556625 0.807275 3
2.617147 0.576172 4
1.927594 0.87982 9
3.003196 -0.08514 15
1.522712 1.048314 6
2.935967 0.258456 8
1.449523 1.127167 6
1.912534 1.173718 12
3.271144 -0.210341 15
2.862336 0.202858 8
0.537704 0.094801 10
3.111041 -0.085626 15
1.100086 0.90832 13
2.346189 0.754431 7
1.194445 0.800082 13
1.042943 0.73084 13
2.971048 -0.207461 15
1.772537 0.858228 2
2.954311 0.431861 8
3.039359 0.013921 15
2.052041 0.912156 9
0.708385 0.499492 1
0.767175 0.688618 14
2.998329 0.090914 8
2.997849 0.527987 11
3.070997 -0.259158 15
2.528742 0.999 3
1.936058 1.050049 12
2.813753 0.748004 11
2.817559 0.342899 8
0.892366 0.605376 14
2.92138 0.132071 8
0.981989 0.7069 14
2.774819 0.550149 4
0.407648 -0.059801 10
1.457127 0.999635 6
1.022645 0.68036 14
0.737806 0.531585 1
1.760962 0.925746 2
0.599614 -0.048371 10
0.409283 0.17561 10
0.97353 0.91857 13
1.141994 0.755274 13
1.279425 0.754724 5
2.769092 0.321366 8
1.746002 0.975604 2
3.068994 -0.139536 15
1.764458 0.917922 2
1.031616 0.880199 13
3.11543 -0.246048 15
3.176019 -0.235342 15
1.324055 0.805667 5
3.145178 0.336244 8
0.516094 0.013599 10
2.976822 0.549354 11
2.949605 0.422259 8
1.181048 1.007044 5
2.468129 0.743707 3
1.610168 1.165783 6
2.639357 0.942312 3
2.193195 0.911847 7
1.254659 0.884392 5
2.942258 0.522609 11
2.67866 0.645778 4
2.433767 0.684205 3
2.606005 0.768214 3
0.33807 -0.161682 10
2.165674 0.940389 7
1.454535 1.116077 6
0.913601 0.57317 14
0.441924 0.21629 10
2.843781 0.547739 11
1.744254 1.104869 2
2.450481 0.713141 3
2.016748 1.140571 12
2.834063 0.208999 8
3.185154 0.227714 8
1.799943 1.197661 12
0.733537 0.290693 0
0.550389 0.091737 10
0.589887 0.479238 1
1.99317 0.838228 9
0.929227 0.778333 14
2.688633 0.489903 4
0.757883 0.293873 0
2.790132 0.457715 4
2.887556 0.266205 8
1.36549 0.986902 5
3.284647 -0.201576 15
0.337991 0.033076 10
2.907768 0.531928 11
2.733823 0.543629 4
0.634515 0.605639 1
2.307051 0.807841 7
2.243251 0.858149 7
2.753024 0.774896 11
3.164613 -0.003183 15
0.66014 0.412315 1
1.748008 1.16384 12
2.953606 -0.122637 15
0.584315 0.513653 1
1.917023 1.146829 12
0.400588 -0.12108 10
1.440175 0.797649 5
3.27301 -0.152152 15
0.806276 0.776914 14
3.075592 -0.040451 15
2.995226 -0.295745 15
3.011753 0.012675 15
1.93326 1.054554 12
0.626703 -0.189479 10
2.657241 0.8771 3
3.011646 0.262782 8
0.961862 0.682913 14
2.565831 0.70298 3
3.116297 -0.015251 15
2.96532 0.400596 8
2.19484 1.091341 7
2.831914 0.477595 11
3.007922 0.082629 15
3.065949 0.32191 8
1.876442 0.905413 2
0.389024 0.034471 10
2.044635 0.916009 9
0.570165 0.474987 1
2.578628 0.71458 3
1.489524 0.982551 6
2.697155 0.804273 3
0.981532 0.649299 14
2.745696 0.611669 4
1.100758 0.915991 13
1.843897 0.91444 2
1.285585 0.93497 5
0.459061 -0.167056 10
3.065112 0.454074 8
3.023184 0.385574 8
0.786707 0.753854 14
2.898378 0.266352 8
2.033233 1.167509 12
2.046356 0.959571 9
1.03815 0.835998 13
0.73527 0.219011 0
3.208077 -0.060415 15
0.661399 0.195362 0
0.882929 0.507855 14
2.988368 0.349554 8
1.040192 0.828884 13
1.055578 0.752358 13
0.392923 -0.115525 10
2.489902 0.725421 3
3.242184 0.037777 15
3.249602 -0.074587 15
1.19429 0.737197 13
2.21116 0.795498 7
1.707319 0.885967 2
2.578115 0.649427 4
0.51264 0.453528 1
0.615986 -0.202915 10
1.716576 0.906833 2
0.849366 0.531738 14
2.927586 0.215691 8
0.851535 0.375876 0
0.657589 -0.121954 10
2.59986 0.821026 3
1.610616 0.991231 6
1.508324 0.859858 6
1.087624 0.900721 13
2.299208 0.774788 7
1.756737 1.003543 2
0.661726 0.178577 0
2.03305 0.920484 9
0.610342 0.099229 10
2.617839 0.748437 3
3.006676 0.05315 15
2.565319 0.783793 3
2.20515 0.785016 7
2.707997 0.76408 3
0.928034 0.744404 14
3.087379 0.320171 8
1.668675 1.183235 6
0.588198 0.193665 10
2.550241 0.946301 3
2.908209 0.490332 11
2.894515 0.329397 8
2.235725 1.076516 7
2.109366 0.858433 9
1.975354 1.083935 12
0.393889 -0.254022 10
2.544472 0.680395 3
1.39024 0.845066 5
0.518119 0.251596 1
1.157376 0.810814 13
0.46185 -0.163064 10
1.875692 1.141179 12
0.33858 -0.141718 10
2.139423 1.01696 9
2.721779 0.447631 4
2.89021 0.41914 8
0.779982 0.670682 14
2.697295 0.638198 4
2.751256 0.8375 3
1.380623 1.118696 6
1.770762 1.121578 12
3.047971 -0.030271 15
0.629114 -0.262579 10
2.986092 0.59604 11
2.705182 0.827996 3
1.009299 0.790149 13
2.92102 0.645935 11
0.689912 0.660834 1
3.120814 0.008876 15
2.929028 0.59103 11
2.796836 0.721854 11
