-1.057272292796655 0.545591738924694 
-2.7439808078525805 0.5630681779903185 
-2.805403 0.47909 1
-2.863374 0.540135 1
-1.844841 0.982728 0
-1.289484 1.021271 0
-1.056815 0.487639 0
-2.501126 0.756141 1
-1.911449 1.019807 1
-1.581537 0.86992 0
-0.720413 0.582003 0
-1.753419 1.028924 0
-3.226036 0.376703 1
-0.830811 0.648587 0
-1.722402 1.106632 0
-2.672863 0.794693 1
-2.847717 0.756129 1
-0.563281 -0.023827 0
-1.184803 0.874031 0
-1.220287 0.786713 0
-0.613006 0.205883 0
-1.71344 1.177823 0
-1.052451 0.605225 0
-2.303558 1.051374 1
-3.031276 0.514575 1
-0.822556 0.369971 0
-3.05042 0.222452 1
-1.882708 1.116186 0
-3.190568 0.125016 1
-1.35491 0.832575 0
-0.831847 0.685312 0
-1.440014 0.94165 0
-0.77121 0.547056 0
-1.366772 0.908721 0
-1.776958 0.938077 0
-0.664734 0.065545 0
-3.133739 -0.048659 1
-3.214103 0.190118 1
-2.437859 0.750204 1
-0.607304 0.264297 0
-1.648447 0.997196 0
-1.849045 0.931083 0
-1.69525 0.911766 0
-1.529891 0.964672 0
-1.157775 0.58404 0
-3.117167 -0.121728 1
-1.264401 0.737662 0
-2.391898 0.922031 1
-2.372596 0.901214 1
-2.580045 0.766484 1
-0.843531 0.537574 0
-3.092102 0.376139 1
-0.57962 -0.01231 0
-1.006603 0.584809 0
-1.812308 1.063596 0
-2.654008 0.853774 1
-2.560416 0.762489 1
-0.728985 0.14083 0
-3.338368 -0.103219 1
-2.355774 0.770053 1
-0.974707 0.592792 0
-0.609583 0.030273 0
-3.205454 -0.206699 1
-1.130266 0.895766 0
-0.501454 0.098663 0
-2.148897 0.862322 1
-3.258373 0.2043 1
-1.638876 0.867822 0
-0.429883 -0.019549 0
-1.30178 0.793057 0
-0.657928 -0.212608 0
-2.509609 0.899367 1
-2.546523 0.976473 1
-2.031741 1.095768 1
-0.714628 -0.263359 0
-0.621818 0.226759 0
-2.540907 0.821444 1
-2.670921 0.612224 1
-1.104252 0.823317 0
-0.642519 -0.11533 0
-0.504415 0.217265 0
-1.16805 0.861128 0
-0.808838 0.314307 0
-2.52268 0.719809 1
-2.613465 0.71432 1
-1.376798 0.967391 0
-2.248514 1.050419 1
-2.979662 0.719253 1
-3.155948 -0.276873 1
-1.415893 0.941645 0
-0.799849 0.54754 0
-1.728409 0.935572 0
-0.939499 0.479452 0
-3.132253 -0.182083 1
-1.372216 0.788755 0
-0.852633 0.484803 0
-1.074762 0.76692 0
-2.866331 0.39261 1
-1.170178 0.610584 0
-1.826611 1.044998 0
-0.606554 0.174109 0
-0.59687 -0.214353 0
-0.624781 0.253807 0
-2.904954 0.782152 1
-2.337466 0.926385 1
-2.784239 0.528311 1
-3.194713 -0.270632 1
-0.724681 0.337889 0
-1.159143 0.729323 0
-0.544536 -0.17534 0
-1.644931 1.040722 0
-1.486347 1.035379 0
-3.006477 0.299496 1
-2.591073 0.892651 1
-2.972775 0.558718 1
-3.23955 -0.173207 1
-3.186085 0.240406 1
-2.580227 0.885964 1
-0.765298 0.069973 0
-3.324843 -0.190716 1
-0.680585 -0.189829 0
-2.624417 0.717995 1
-0.663089 0.133687 0
-1.115822 0.749855 0
-1.490639 0.82336 0
-0.539488 0.02099 0
-0.59928 -0.274876 0
-3.112075 -0.219753 1
