-2.863981623539225 0.4583019031719534 
-2.777349878401344 0.6010710068027203 
-1.8516610538720593 0.9245206677889968 
-1.266311949438205 0.9936448352059909 
-0.9610924287343129 0.49678501026225896 
-2.4690883829113934 0.8581175438517112 
-1.9841569214521517 0.9675756620462034 
-1.6357060121951243 0.9030914319105645 
-0.6747987209469174 0.40199141391678817 
-1.7109065276382023 0.9921792629815738 
-3.2538293186813254 0.19631138914027152 
-0.7990267471022159 0.6265812634351986 
-1.7969953711911388 1.1086280932594634 
-2.6358568676654324 0.8348888872242974 
-2.9005776632390856 0.7247908277634971 
-0.5916725475597597 -0.1369034489541836 
-1.108181338632753 0.8571364745627942 
-1.1705600803782559 0.7264090927895999 
-0.6433815351059442 0.16102728749480633 
-1.6483395546218487 1.156771602240894 
-1.041401081145588 0.6149223627684972 
-2.2471792120253333 0.9841765152953533 
-3.0670419379795555 0.4936386029411795 
-0.8280877756773763 0.2910473314429726 
-3.0465277270902873 0.1726383658862869 
-1.9795228765182102 1.143064703441296 
-3.221663729328917 -0.15396367334074945 
-1.3976912230902825 0.7955282630208295 
-0.9402032360975584 0.765077800975609 
-1.5152399831618217 1.0086416192703396 
-0.7997710939542455 0.5129800629084977 
-1.3835403742937824 0.9377889067796603 
-2.805403 0.47909 0
-2.863374 0.540135 0
-1.844841 0.982728 2
-1.289484 1.021271 3
-1.056815 0.487639 4
-2.501126 0.756141 5
-1.911449 1.019807 6
-1.581537 0.86992 7
-0.720413 0.582003 11
-1.753419 1.028924 9
-3.226036 0.376703 10
-0.830811 0.648587 11
-1.722402 1.106632 12
-2.672863 0.794693 13
-2.847717 0.756129 14
-0.563281 -0.023827 15
-1.184803 0.874031 16
-1.220287 0.786713 17
-0.613006 0.205883 18
-1.71344 1.177823 19
-1.052451 0.605225 20
-2.303558 1.051374 21
-3.031276 0.514575 22
-0.822556 0.369971 23
-3.05042 0.222452 24
-1.882708 1.116186 12
-3.190568 0.125016 10
-1.35491 0.832575 27
-0.831847 0.685312 11
-1.440014 0.94165 31
-0.77121 0.547056 30
-1.366772 0.908721 31
-1.776958 0.938077 2
-0.664734 0.065545 18
-3.133739 -0.048659 26
-3.214103 0.190118 10
-2.437859 0.750204 5
-0.607304 0.264297 18
-1.648447 0.997196 9
-1.849045 0.931083 2
-1.69525 0.911766 7
-1.529891 0.964672 29
-1.157775 0.58404 20
-3.117167 -0.121728 26
-1.264401 0.737662 17
-2.391898 0.922031 5
-2.372596 0.901214 5
-2.580045 0.766484 13
-0.843531 0.537574 30
-3.092102 0.376139 22
-0.57962 -0.01231 15
-1.006603 0.584809 20
-1.812308 1.063596 12
-2.654008 0.853774 13
-2.560416 0.762489 13
-0.728985 0.14083 18
-3.338368 -0.103219 26
-2.355774 0.770053 5
-0.974707 0.592792 20
-0.609583 0.030273 18
-3.205454 -0.206699 26
-1.130266 0.895766 16
-0.501454 0.098663 18
-2.148897 0.862322 21
-3.258373 0.2043 10
-1.638876 0.867822 7
-0.429883 -0.019549 15
-1.30178 0.793057 27
-0.657928 -0.212608 15
-2.509609 0.899367 5
-2.546523 0.976473 5
-2.031741 1.095768 25
-0.714628 -0.263359 15
-0.621818 0.226759 18
-2.540907 0.821444 5
-2.670921 0.612224 1
-1.104252 0.823317 16
-0.642519 -0.11533 15
-0.504415 0.217265 18
-1.16805 0.861128 16
-0.808838 0.314307 23
-2.52268 0.719809 5
-2.613465 0.71432 13
-1.376798 0.967391 31
-2.248514 1.050419 21
-2.979662 0.719253 14
-3.155948 -0.276873 26
-1.415893 0.941645 31
-0.799849 0.54754 30
-1.728409 0.935572 9
-0.939499 0.479452 4
-3.132253 -0.182083 26
-1.372216 0.788755 27
-0.852633 0.484803 30
-1.074762 0.76692 16
-2.866331 0.39261 0
-1.170178 0.610584 17
-1.826611 1.044998 12
-0.606554 0.174109 18
-0.59687 -0.214353 15
-0.624781 0.253807 18
-2.904954 0.782152 14
-2.337466 0.926385 21
-2.784239 0.528311 1
-3.194713 -0.270632 26
-0.724681 0.337889 8
-1.159143 0.729323 17
-0.544536 -0.17534 15
-1.644931 1.040722 9
-1.486347 1.035379 29
-3.006477 0.299496 24
-2.591073 0.892651 13
-2.972775 0.558718 22
-3.23955 -0.173207 26
-3.186085 0.240406 10
-2.580227 0.885964 13
-0.765298 0.069973 18
-3.324843 -0.190716 26
-0.680585 -0.189829 15
-2.624417 0.717995 13
-0.663089 0.133687 18
-1.115822 0.749855 17
-1.490639 0.82336 27
-0.539488 0.02099 15
