1.6973464219495544 -0.6157825044308105 
-1.4313669928977353 -1.185927427556817 
1.2694434442712528 -1.3781277653936073 
1.2829058266666618 -0.9555241529411811 
1.0690919189189185 -1.1869908656370647 
1.5764616905965712 -0.2877341951466117 
-1.2533197519379886 -1.3802329560723545 
-1.7079558817470082 -0.1649916786155739 
1.7194602444444536 -0.07600825359477087 
-1.636895231469443 -0.94021392197659 
0.3551055071225071 -1.57467369135803 
-0.10150555266579969 -1.805428210663204 
1.5065898902616273 -0.49402101090116246 
-1.2508256954377266 -1.0129121602959315 
-0.7413051725571725 -1.4774421444906463 
-0.5633971722113515 -1.5033105714285688 
1.547999100000007 -1.033232942156868 
-1.6605515626666623 -0.4488175946666662 
-0.5646231000000019 -1.8287627 
0.9039567282011006 -1.4389501798900215 
0.07401834136807844 -1.6839884990228091 
-1.5448113427592145 -0.643745792630678 
0.6520281206368633 -1.676991075933882 
-1.385186171516081 -0.8181550888208281 
-0.995275861834651 -1.3276540883352224 
-0.5693533195266245 -1.6678091499013799 
-0.3445752962962959 -1.5738052341696527 
-1.0797643702064847 -1.5280486991150408 
-0.31945243205574764 -1.8203250087108038 
0.34392906547618923 -1.7865595230654816 
1.7948450047449573 -0.2813001969157782 
-0.8750839303370789 -1.6383093123595502 
1.757181 -0.574882 0
-1.415069 -1.334518 1
1.358793 -1.298014 2
1.274233 -0.900829 3
1.309022 -1.124469 3
1.577081 -0.371964 5
-1.320212 -1.412346 6
-1.718445 -0.388723 17
1.796066 -0.016532 8
-1.687226 -0.710239 21
0.467559 -1.586733 10
-0.073598 -1.914745 11
1.504107 -0.399662 12
-1.190474 -1.094872 13
-0.672019 -1.565179 14
-0.592864 -1.577651 15
1.540479 -1.174352 16
-1.560641 -0.584289 21
-0.552366 -1.854381 18
0.668853 -1.422326 19
0.008525 -1.723827 20
-1.566243 -0.650491 21
0.558539 -1.571734 22
-1.453591 -0.672614 21
-1.030054 -1.483281 27
-0.533389 -1.659286 25
-0.433365 -1.629555 26
-1.054801 -1.639245 27
-0.292768 -1.899551 28
0.367722 -1.791486 29
1.763692 -0.223244 30
-0.861986 -1.630256 31
1.640696 -0.538581 0
-1.791145 -0.057825 7
1.797752 -0.216696 30
0.321906 -1.499371 10
1.56367 -0.770138 0
-0.397953 -1.616761 26
-0.426052 -1.575558 26
-0.923797 -1.24438 24
-1.096698 -1.348373 24
1.327382 -1.143351 3
1.361512 -1.056479 3
-0.037194 -1.562465 20
0.132974 -1.782594 20
0.288976 -1.717594 29
-1.196789 -1.375582 6
0.15498 -1.782555 20
1.55726 -0.999805 16
1.668411 -0.9464 16
1.610462 -0.87623 16
-1.524242 -0.575052 21
-1.413647 -0.783857 23
-1.604108 -0.172357 7
-1.359327 -0.897538 23
-1.522781 -0.723548 21
0.933538 -1.485015 19
0.999107 -1.240768 4
1.704009 -0.194081 8
1.53256 -0.190563 5
0.248221 -1.653549 10
-1.151205 -1.537719 27
1.678971 -0.131204 8
0.582774 -1.802602 22
-1.552495 -0.078252 7
1.736502 -0.825221 0
0.441059 -1.890789 29
0.425364 -1.755746 29
0.999846 -1.649427 19
0.351 -1.559744 10
-1.55857 -1.121606 1
1.495222 -0.387884 12
1.855329 -0.191417 30
1.655304 -0.663608 0
0.973898 -1.220694 4
1.516323 -0.363115 5
-0.490846 -1.823011 18
-1.36252 -1.206252 1
1.18839 -1.006286 3
-1.833831 -0.207748 7
1.483619 -0.410322 12
-1.644364 -0.457782 17
1.734938 -0.494017 0
-0.071709 -1.645725 20
0.885564 -1.591521 19
-0.562728 -1.611124 25
-1.173416 -1.503662 27
-1.046949 -1.385482 24
-1.582039 -0.096528 7
-0.695408 -1.64931 25
1.620848 -0.186217 5
0.390876 -1.476206 10
-1.570157 -0.628913 21
0.591189 -1.644959 22
-0.592797 -1.489156 15
1.257389 -0.823024 3
0.20426 -1.64096 20
-0.545507 -1.4356 15
0.276518 -1.759976 29
-0.163695 -1.766652 11
-0.128213 -1.777051 11
-1.699507 -0.122116 7
0.367088 -1.6974 29
0.177216 -1.819876 29
0.745414 -1.789083 22
-1.428297 -0.963476 23
-0.249243 -1.888115 28
-1.496772 -1.168367 1
1.506344 -0.45682 12
1.75959 -0.615505 0
1.163692 -1.238882 4
-0.5951 -1.677703 25
1.123914 -1.524692 2
-1.653198 -0.286334 7
-1.761234 -0.185407 7
-0.502002 -1.841709 18
-1.932561 -0.084044 7
1.887235 -0.081715 8
-1.482772 -0.259392 7
0.517963 -1.733806 22
-1.580422 -0.558797 21
-0.919641 -1.62483 31
-1.882813 -0.473378 17
-1.104609 -1.388977 24
-1.688466 -0.560052 17
1.368067 -1.239846 2
1.003006 -1.224293 4
-1.838002 -0.201284 7
-0.901671 -1.450084 24
1.836034 -0.057195 8
0.600224 -1.69188 22
0.343062 -1.839013 29
1.623432 -0.447689 12
0.671299 -1.708277 22
-0.367782 -1.631906 26
-1.656257 -0.24249 7
0.176964 -1.829092 29
-0.854473 -1.527447 31
0.633789 -1.789252 22
0.040058 -1.775853 20
0.687261 -1.735595 22
-0.672704 -1.499315 14
1.518582 -0.121733 5
-0.725332 -1.432865 14
-1.857392 -0.509551 17
1.267899 -1.106542 3
-1.051964 -1.468481 27
0.412597 -1.681352 10
-0.05313 -1.7532 11
-0.98965 -1.569274 27
-0.01902 -1.557005 20
1.145782 -1.430733 2
-0.325181 -1.786227 28
-1.276477 -0.851898 23
0.517625 -1.66833 22
1.363424 -0.630854 12
-1.111066 -1.476324 27
0.947986 -1.424566 19
1.345613 -0.941537 3
1.114734 -1.173477 4
1.268587 -1.307063 2
