0.836018376460768 0.4583019031719534 
0.9226501215986413 0.6010710068027203 
1.8483389461279438 0.9245206677889968 
2.4336880505617944 0.9936448352059909 
2.7389075712656825 0.49678501026225896 
1.2309116170886159 0.8581175438517112 
1.7158430785478576 0.9675756620462034 
2.0642939878048705 0.9030914319105645 
3.0252012790530953 0.40199141391678817 
1.9890934723618086 0.9921792629815738 
0.44617068131867854 0.19631138914027152 
2.9009732528978023 0.6265812634351986 
1.9030046288088684 1.1086280932594634 
1.0641431323345716 0.8348888872242974 
0.7994223367609282 0.7247908277634971 
3.108327452440265 -0.1369034489541836 
2.5918186613672543 0.8571364745627942 
2.5294399196217463 0.7264090927895999 
3.0566184648940546 0.16102728749480633 
2.051660445378154 1.156771602240894 
2.658598918854405 0.6149223627684972 
1.4528207879746884 0.9841765152953533 
0.6329580620204519 0.4936386029411795 
2.8719122243226267 0.2910473314429726 
0.6534722729096969 0.1726383658862869 
1.7204771234817737 1.143064703441296 
0.47833627067111867 -0.15396367334074945 
2.302308776909714 0.7955282630208295 
2.7597967639024192 0.765077800975609 
2.184760016838179 1.0086416192703396 
2.900228906045739 0.5129800629084977 
2.3164596257062073 0.9377889067796603 
0.894597 0.47909 0
0.836626 0.540135 0
1.855159 0.982728 2
2.410516 1.021271 3
2.643185 0.487639 4
1.198874 0.756141 5
1.788551 1.019807 6
2.118463 0.86992 7
2.979587 0.582003 11
1.946581 1.028924 9
0.473964 0.376703 10
2.869189 0.648587 11
1.977598 1.106632 12
1.027137 0.794693 13
0.852283 0.756129 14
3.136719 -0.023827 15
2.515197 0.874031 16
2.479713 0.786713 17
3.086994 0.205883 18
1.98656 1.177823 19
2.647549 0.605225 20
1.396442 1.051374 21
0.668724 0.514575 22
2.877444 0.369971 23
0.64958 0.222452 24
1.817292 1.116186 12
0.509432 0.125016 10
2.34509 0.832575 27
2.868153 0.685312 11
2.259986 0.94165 31
2.92879 0.547056 30
2.333228 0.908721 31
1.923042 0.938077 2
3.035266 0.065545 18
0.566261 -0.048659 26
0.485897 0.190118 10
1.262141 0.750204 5
3.092696 0.264297 18
2.051553 0.997196 9
1.850955 0.931083 2
2.00475 0.911766 7
2.170109 0.964672 29
2.542225 0.58404 20
0.582833 -0.121728 26
2.435599 0.737662 17
1.308102 0.922031 5
1.327404 0.901214 5
1.119955 0.766484 13
2.856469 0.537574 30
0.607898 0.376139 22
3.12038 -0.01231 15
2.693397 0.584809 20
1.887692 1.063596 12
1.045992 0.853774 13
1.139584 0.762489 13
2.971015 0.14083 18
0.361632 -0.103219 26
1.344226 0.770053 5
2.725293 0.592792 20
3.090417 0.030273 18
0.494546 -0.206699 26
2.569734 0.895766 16
3.198546 0.098663 18
1.551103 0.862322 21
0.441627 0.2043 10
2.061124 0.867822 7
3.270117 -0.019549 15
2.39822 0.793057 27
3.042072 -0.212608 15
1.190391 0.899367 5
1.153477 0.976473 5
1.668259 1.095768 25
2.985372 -0.263359 15
3.078182 0.226759 18
1.159093 0.821444 5
1.029079 0.612224 1
2.595748 0.823317 16
3.057481 -0.11533 15
3.195585 0.217265 18
2.53195 0.861128 16
2.891162 0.314307 23
1.17732 0.719809 5
1.086535 0.71432 13
2.323202 0.967391 31
1.451486 1.050419 21
0.720338 0.719253 14
0.544052 -0.276873 26
2.284107 0.941645 31
2.900151 0.54754 30
1.971591 0.935572 9
2.760501 0.479452 4
0.567747 -0.182083 26
2.327784 0.788755 27
2.847367 0.484803 30
2.625238 0.76692 16
0.833669 0.39261 0
2.529822 0.610584 17
1.873389 1.044998 12
3.093446 0.174109 18
3.10313 -0.214353 15
3.075219 0.253807 18
0.795046 0.782152 14
1.362534 0.926385 21
0.915761 0.528311 1
0.505287 -0.270632 26
2.975319 0.337889 8
2.540857 0.729323 17
3.155464 -0.17534 15
2.055069 1.040722 9
2.213653 1.035379 29
0.693523 0.299496 24
1.108927 0.892651 13
0.727225 0.558718 22
0.46045 -0.173207 26
0.513915 0.240406 10
1.119773 0.885964 13
2.934702 0.069973 18
0.375157 -0.190716 26
3.019415 -0.189829 15
1.075583 0.717995 13
3.036911 0.133687 18
2.584178 0.749855 17
2.209361 0.82336 27
3.160512 0.02099 15
3.10072 -0.274876 15
0.587925 -0.219753 26
1.596237 0.930857 6
0.796207 0.462889 0
2.088309 0.985077 7
0.656344 0.404706 22
0.729797 0.651898 14
2.819594 0.618371 11
1.523861 0.929849 21
0.813438 0.499488 0
2.598409 0.751378 17
0.681082 0.076383 24
1.741385 0.932117 6
2.197063 0.93677 29
3.091652 0.170022 18
3.058301 0.399367 8
0.334667 -0.250157 26
0.787727 0.519306 0
3.056859 -0.241483 15
0.737512 0.743334 14
2.845647 0.368477 23
0.712081 0.399883 22
1.234775 0.779705 5
0.433919 0.1522 10
1.008811 0.889493 13
1.113124 0.988766 13
1.807664 0.934041 2
2.606957 0.898282 16
2.556625 0.807275 16
2.617147 0.576172 20
1.927594 0.87982 2
3.003196 -0.08514 15
1.522712 1.048314 21
2.935967 0.258456 23
1.449523 1.127167 21
1.912534 1.173718 12
3.271144 -0.210341 15
