0.5276948061984139 0.08464432761537066 
1.0447214854283395 0.7534523112210033 
2.0411791014980283 0.9638309028440996 
2.921797388851461 0.3169954093787925 
0.894597 0.47909 1
0.836626 0.540135 1
1.855159 0.982728 2
2.410516 1.021271 2
2.643185 0.487639 3
1.198874 0.756141 1
1.788551 1.019807 2
2.118463 0.86992 2
2.979587 0.582003 3
1.946581 1.028924 2
0.473964 0.376703 0
2.869189 0.648587 3
1.977598 1.106632 2
1.027137 0.794693 1
0.852283 0.756129 1
3.136719 -0.023827 3
2.515197 0.874031 2
2.479713 0.786713 2
3.086994 0.205883 3
1.98656 1.177823 2
2.647549 0.605225 3
1.396442 1.051374 1
0.668724 0.514575 1
2.877444 0.369971 3
0.64958 0.222452 0
1.817292 1.116186 2
0.509432 0.125016 0
2.34509 0.832575 2
2.868153 0.685312 3
2.259986 0.94165 2
2.92879 0.547056 3
2.333228 0.908721 2
1.923042 0.938077 2
3.035266 0.065545 3
0.566261 -0.048659 0
0.485897 0.190118 0
1.262141 0.750204 1
3.092696 0.264297 3
2.051553 0.997196 2
1.850955 0.931083 2
2.00475 0.911766 2
2.170109 0.964672 2
2.542225 0.58404 3
0.582833 -0.121728 0
2.435599 0.737662 2
1.308102 0.922031 1
1.327404 0.901214 1
1.119955 0.766484 1
2.856469 0.537574 3
0.607898 0.376139 0
3.12038 -0.01231 3
2.693397 0.584809 3
1.887692 1.063596 2
1.045992 0.853774 1
1.139584 0.762489 1
2.971015 0.14083 3
0.361632 -0.103219 0
1.344226 0.770053 1
2.725293 0.592792 3
3.090417 0.030273 3
0.494546 -0.206699 0
2.569734 0.895766 2
3.198546 0.098663 3
1.551103 0.862322 2
0.441627 0.2043 0
2.061124 0.867822 2
3.270117 -0.019549 3
2.39822 0.793057 2
3.042072 -0.212608 3
1.190391 0.899367 1
1.153477 0.976473 1
1.668259 1.095768 2
2.985372 -0.263359 3
3.078182 0.226759 3
1.159093 0.821444 1
1.029079 0.612224 1
2.595748 0.823317 2
3.057481 -0.11533 3
3.195585 0.217265 3
2.53195 0.861128 2
2.891162 0.314307 3
1.17732 0.719809 1
1.086535 0.71432 1
2.323202 0.967391 2
1.451486 1.050419 1
0.720338 0.719253 1
0.544052 -0.276873 0
2.284107 0.941645 2
2.900151 0.54754 3
1.971591 0.935572 2
2.760501 0.479452 3
0.567747 -0.182083 0
2.327784 0.788755 2
2.847367 0.484803 3
2.625238 0.76692 3
0.833669 0.39261 1
2.529822 0.610584 3
1.873389 1.044998 2
3.093446 0.174109 3
3.10313 -0.214353 3
3.075219 0.253807 3
0.795046 0.782152 1
1.362534 0.926385 1
0.915761 0.528311 1
0.505287 -0.270632 0
2.975319 0.337889 3
2.540857 0.729323 2
3.155464 -0.17534 3
2.055069 1.040722 2
