-2.848624342857139 0.4285704825396828 
-2.8452135318681413 0.5514266659340682 
-1.8687122070707052 0.9440943030303038 
-1.3410705460992907 1.0434105106382976 
-0.9861487486631033 0.4720962834224599 
-2.5283723470588204 0.7459659588235289 
-1.9608298937499993 1.0205904687499974 
-1.5335286540284363 0.8385850568720387 
-0.6874364081632647 0.524920469387755 
-1.7482842499999982 1.0301377500000004 
-3.2125216603773636 0.4100887735849055 
-0.8120850064516129 0.6348095612903221 
-1.7588227241379306 1.1299201264367795 
-2.73051898832685 0.7529271828793781 
-2.916926045584043 0.7239466695156679 
-0.5563543333333331 -0.22506888396624547 
-1.1825315587044516 0.9217179797570861 
-1.1204761358574598 0.754603737193765 
-0.5969443726027417 0.2119603753424658 
-1.6887597264150933 1.1620785188679241 
-1.006892579831932 0.7444509579831932 
-2.2331462823834154 1.0599524404145073 
-3.043305860824738 0.553916208762887 
-0.836442892008639 0.32216958747300256 
-3.0057380776397524 0.22559721739130442 
-1.9917535046728987 1.1526424735202494 
-3.1211622866449487 0.1311403127035831 
-1.3649595000000005 0.795369875000001 
-0.894872688679246 0.7426714056603783 
-1.466282344537813 0.927165159663865 
-0.7693762642045442 0.47815201988636213 
-1.3590542000000005 0.931596000000001 
-1.7906606923076909 0.9077926634615388 
-0.6909693633093532 0.06504902877697843 
-3.1149492499999965 -0.024855499999999975 
-3.2493197558441547 0.21901441558441573 
-2.441219666666671 0.7615443333333332 
-0.6502858916876573 0.3420567455919396 
-1.6297692000000026 1.0075565999999998 
-1.9573151811023615 0.9077530275590565 
-1.6837007132616482 0.9030169462365589 
-1.5202032996515693 1.0345079163763071 
-1.151341499999999 0.6311115000000012 
-3.093490398671097 -0.20547501993355463 
-1.2546509784946256 0.7258284301075271 
-2.5084034571428555 0.9523793301587304 
-2.3572299277566575 0.9390589847908739 
-2.658455872180454 0.6915861315789469 
-0.8759219644128139 0.5149798790035591 
-3.0670424019138736 0.42428297607655513 
-0.6845642608695648 -0.17825426086956542 
-1.0184942974683544 0.5708816645569625 
-1.8443248907562995 1.1064820924369756 
-2.6328189448818877 0.8936097401574804 
-2.553432380281691 0.8139373568075116 
-0.7716370567823343 0.19419323343848618 
-3.3363995498783385 -0.05778758637469574 
-2.325298189655172 0.8079732413793117 
-0.9858890145985392 0.6201376861313874 
-0.5819032887828155 -0.0036189737470167065 
-3.2589741863905357 -0.20954049112426043 
-1.0498468534482777 0.8505711034482755 
-0.46242907317073245 -0.04447328455284548 
-2.136615857142855 0.9122455714285721 
-2.805403 0.47909 0
-2.863374 0.540135 1
-1.844841 0.982728 2
-1.289484 1.021271 3
-1.056815 0.487639 4
-2.501126 0.756141 5
-1.911449 1.019807 6
-1.581537 0.86992 7
-0.720413 0.582003 8
-1.753419 1.028924 9
-3.226036 0.376703 10
-0.830811 0.648587 11
-1.722402 1.106632 12
-2.672863 0.794693 13
-2.847717 0.756129 14
-0.563281 -0.023827 59
-1.184803 0.874031 16
-1.220287 0.786713 44
-0.613006 0.205883 18
-1.71344 1.177823 19
-1.052451 0.605225 51
-2.303558 1.051374 21
-3.031276 0.514575 22
-0.822556 0.369971 23
-3.05042 0.222452 24
-1.882708 1.116186 52
-3.190568 0.125016 26
-1.35491 0.832575 27
-0.831847 0.685312 11
-1.440014 0.94165 29
-0.77121 0.547056 30
-1.366772 0.908721 31
-1.776958 0.938077 32
-0.664734 0.065545 33
-3.133739 -0.048659 34
-3.214103 0.190118 35
-2.437859 0.750204 36
-0.607304 0.264297 18
-1.648447 0.997196 38
-1.849045 0.931083 2
-1.69525 0.911766 40
-1.529891 0.964672 41
-1.157775 0.58404 42
-3.117167 -0.121728 43
-1.264401 0.737662 44
-2.391898 0.922031 46
-2.372596 0.901214 46
-2.580045 0.766484 54
-0.843531 0.537574 48
-3.092102 0.376139 49
-0.57962 -0.01231 59
-1.006603 0.584809 51
-1.812308 1.063596 52
-2.654008 0.853774 53
-2.560416 0.762489 5
-0.728985 0.14083 55
-3.338368 -0.103219 56
-2.355774 0.770053 57
-0.974707 0.592792 58
-0.609583 0.030273 59
-3.205454 -0.206699 60
-1.130266 0.895766 16
-0.501454 0.098663 59
-2.148897 0.862322 63
-3.258373 0.2043 35
-1.638876 0.867822 40
-0.429883 -0.019549 62
-1.30178 0.793057 27
-0.657928 -0.212608 50
-2.509609 0.899367 45
-2.546523 0.976473 45
-2.031741 1.095768 25
-0.714628 -0.263359 50
-0.621818 0.226759 18
-2.540907 0.821444 54
-2.670921 0.612224 47
-1.104252 0.823317 61
-0.642519 -0.11533 50
-0.504415 0.217265 18
-1.16805 0.861128 16
-0.808838 0.314307 23
-2.52268 0.719809 5
-2.613465 0.71432 47
-1.376798 0.967391 31
-2.248514 1.050419 21
-2.979662 0.719253 14
-3.155948 -0.276873 43
-1.415893 0.941645 29
-0.799849 0.54754 30
-1.728409 0.935572 40
-0.939499 0.479452 4
-3.132253 -0.182083 43
-1.372216 0.788755 27
-0.852633 0.484803 48
-1.074762 0.76692 17
-2.866331 0.39261 0
-1.170178 0.610584 42
-1.826611 1.044998 52
-0.606554 0.174109 18
-0.59687 -0.214353 15
-0.624781 0.253807 18
-2.904954 0.782152 14
-2.337466 0.926385 46
-2.784239 0.528311 1
-3.194713 -0.270632 60
-0.724681 0.337889 37
-1.159143 0.729323 17
-0.544536 -0.17534 15
-1.644931 1.040722 38
-1.486347 1.035379 41
-3.006477 0.299496 24
-2.591073 0.892651 53
-2.972775 0.558718 22
-3.23955 -0.173207 60
-3.186085 0.240406 35
-2.580227 0.885964 53
-0.765298 0.069973 33
-3.324843 -0.190716 60
-0.680585 -0.189829 50
-2.624417 0.717995 47
-0.663089 0.133687 33
-1.115822 0.749855 17
-1.490639 0.82336 7
-0.539488 0.02099 59
-0.59928 -0.274876 15
-3.112075 -0.219753 43
-2.103763 0.930857 63
-2.903793 0.462889 0
-1.611691 0.985077 38
-3.043656 0.404706 49
-2.970203 0.651898 14
-0.880406 0.618371 11
-2.176139 0.929849 63
-2.886562 0.499488 1
-1.101591 0.751378 17
-3.018918 0.076383 26
-1.958615 0.932117 39
-1.502937 0.93677 29
-0.608348 0.170022 18
-0.641699 0.399367 37
-3.365333 -0.250157 60
-2.912273 0.519306 1
-0.643141 -0.241483 50
-2.962488 0.743334 14
-0.854353 0.368477 23
-2.987919 0.399883 49
-2.465225 0.779705 36
-3.266081 0.1522 35
-2.691189 0.889493 53
-2.586876 0.988766 45
-1.892336 0.934041 2
-1.093043 0.898282 61
-1.143375 0.807275 17
-1.082853 0.576172 51
-1.772406 0.87982 32
-0.696804 -0.08514 50
-2.177288 1.048314 21
-0.764033 0.258456 55
-2.250477 1.127167 21
-1.787466 1.173718 12
-0.428856 -0.210341 15
-0.837664 0.202858 55
-3.162296 0.094801 26
-0.588959 -0.085626 59
-2.599914 0.90832 53
-1.353811 0.754431 27
-2.505555 0.800082 54
-2.657057 0.73084 47
-0.728952 -0.207461 50
-1.927463 0.858228 39
-0.745689 0.431861 30
-0.660641 0.013921 33
-1.647959 0.912156 40
-2.991615 0.499492 22
-2.932825 0.688618 14
-0.701671 0.090914 33
-0.702151 0.527987 8
-0.629003 -0.259158 15
-1.171258 0.999 16
-1.763942 1.050049 9
-0.886247 0.748004 28
-0.882441 0.342899 23
-2.807634 0.605376 1
-0.77862 0.132071 55
-2.718011 0.7069 13
-0.925181 0.550149 48
-3.292352 -0.059801 56
-2.242873 0.999635 21
-2.677355 0.68036 47
-2.962194 0.531585 22
-1.939038 0.925746 39
-3.100386 -0.048371 34
-3.290717 0.17561 35
-2.72647 0.91857 53
-2.558006 0.755274 5
-2.420575 0.754724 36
-0.930908 0.321366 23
-1.953998 0.975604 6
-0.631006 -0.139536 50
-1.935542 0.917922 39
-2.668384 0.880199 53
-0.58457 -0.246048 15
-0.523981 -0.235342 15
-2.375945 0.805667 57
-0.554822 0.336244 37
-3.183906 0.013599 34
-0.723178 0.549354 8
-0.750395 0.422259 30
-2.518952 1.007044 45
-1.231871 0.743707 44
-2.089832 1.165783 25
-1.060643 0.942312 61
-1.506805 0.911847 29
-2.445341 0.884392 45
-0.757742 0.522609 30
-1.02134 0.645778 58
-1.266233 0.684205 44
-1.093995 0.768214 17
-3.36193 -0.161682 56
-1.534326 0.940389 29
-2.245465 1.116077 21
-2.786399 0.57317 1
-3.258076 0.21629 35
-0.856219 0.547739 48
-1.955746 1.104869 25
-1.249519 0.713141 44
-1.683252 1.140571 19
-0.865937 0.208999 55
-0.514846 0.227714 18
-1.900057 1.197661 25
-2.966463 0.290693 24
-3.149611 0.091737 26
-3.110113 0.479238 49
-1.70683 0.838228 40
-2.770773 0.778333 13
-1.011367 0.489903 4
-2.942117 0.293873 24
-0.909868 0.457715 48
-0.812444 0.266205 23
-2.33451 0.986902 46
-0.415353 -0.201576 15
-3.362009 0.033076 56
-0.792232 0.531928 30
-0.966177 0.543629 51
-3.065485 0.605639 22
-1.392949 0.807841 27
-1.456749 0.858149 29
-0.946976 0.774896 28
-0.535387 -0.003183 59
-3.03986 0.412315 49
-1.951992 1.16384 25
-0.746394 -0.122637 50
-3.115685 0.513653 22
-1.782977 1.146829 12
-3.299412 -0.12108 56
-2.259825 0.797649 57
-0.42699 -0.152152 62
-2.893724 0.776914 14
-0.624408 -0.040451 59
-0.704774 -0.295745 50
-0.688247 0.012675 33
-1.76674 1.054554 9
-3.073297 -0.189479 43
-1.042759 0.8771 61
-0.688354 0.262782 37
-2.738138 0.682913 13
-1.134169 0.70298 17
-0.583703 -0.015251 59
-0.73468 0.400596 30
-1.50516 1.091341 41
-0.868086 0.477595 48
-0.692078 0.082629 33
-0.634051 0.32191 37
-1.823558 0.905413 32
-3.310976 0.034471 56
-1.655365 0.916009 40
-3.129835 0.474987 49
-1.121372 0.71458 17
-2.210476 0.982551 21
-1.002845 0.804273 20
-2.718468 0.649299 47
-0.954304 0.611669 58
-2.599242 0.915991 53
-1.856103 0.91444 2
-2.414415 0.93497 46
-3.240939 -0.167056 60
-0.634888 0.454074 8
-0.676816 0.385574 37
-2.913293 0.753854 14
-0.801622 0.266352 23
-1.666767 1.167509 19
-1.653644 0.959571 38
