1.7763305833333345 -0.5562133630952394 
-1.436022600000003 -1.1967097 
1.2822731902552227 -1.3608069048723896 
1.2830769767441856 -0.890005741860464 
1.1899186983695687 -1.1266272527173922 
1.6063146666666714 -0.3622773333333332 
-1.2898256666666674 -1.412364333333334 
-1.8092110590405854 -0.38357445387453815 
1.8322090000000006 -0.04616120000000005 
-1.6620096175637409 -0.9182621784702553 
0.48019014207650346 -1.698768710382513 
-0.13785313636363633 -1.8551067070707046 
1.4889537857142885 -0.42506635714285684 
-1.2052228867924535 -1.0269038270440243 
-0.7368467543478268 -1.4917952913043484 
-0.5918416281407038 -1.5007207587939702 
1.4920119756097563 -1.2089413963414637 
-1.6660044150943385 -0.5668990452830196 
-0.5646231000000005 -1.8287626999999957 
0.7593921255813968 -1.5164484976744201 
0.00029904000000000085 -1.7371974622222213 
-1.542780923076922 -0.6035834346153848 
0.5873711439393934 -1.5595746515151503 
-1.4189677989949754 -0.6563723216080395 
-0.9916060000000007 -1.4816313333333346 
-0.5876112731277543 -1.6649144669603564 
-0.40990230468749994 -1.6421078828124984 
-1.0165744999999988 -1.6587815000000012 
-0.3189515699300706 -1.8231956398601397 
0.3680867147540978 -1.8327062393442644 
1.7963517731958762 -0.3718537680412366 
-0.8586562970297036 -1.6298244900990073 
1.6155485350877197 -0.5548300789473672 
-1.8145329679487152 -0.12991277403846174 
1.81564193401015 -0.20860267512690386 
0.31541279087452456 -1.535718642585553 
1.468511626865673 -0.6489057761194029 
-0.24652352427184496 -1.6095634466019384 
-0.42298842857142777 -1.5219932857142862 
-0.8936600299999986 -1.270874430000003 
-1.0705470406091384 -1.34602337563452 
1.352897108695652 -1.1762159782608699 
1.401325333333335 -1.0489433333333333 
0.026114018433179696 -1.5446155714285732 
0.13081540000000028 -1.8001455999999987 
0.3117208750000005 -1.7315540133928562 
-1.2180623333333322 -1.3461730000000012 
0.17488300000000007 -1.7876655000000012 
1.5420895000000008 -1.0412210000000002 
1.6548684971428549 -0.9297830114285713 
1.644136082926831 -0.7976300780487815 
-1.5405604851063843 -0.41332849361702134 
-1.3440490773195881 -0.8381594123711339 
-1.5658306943396179 -0.1803558169811322 
-1.4401877175572508 -0.9854037137404584 
-1.5094650252100847 -0.7402926050420171 
1.0060388126315785 -1.5176819726315798 
0.9641258783333366 -1.2333530883333372 
1.6549999817073175 -0.20955162195121943 
1.5443497500000014 -0.16158850000000005 
0.21903703012048187 -1.6435965662650613 
-1.1301071666666664 -1.520733999999999 
1.6451208915662643 -0.07862288554216881 
0.7010903131313142 -1.7339888005050481 
1.757181 -0.574882 0
-1.415069 -1.334518 1
1.358793 -1.298014 2
1.274233 -0.900829 3
1.309022 -1.124469 41
1.577081 -0.371964 5
-1.320212 -1.412346 6
-1.718445 -0.388723 7
1.796066 -0.016532 8
-1.687226 -0.710239 17
0.467559 -1.586733 10
-0.073598 -1.914745 11
1.504107 -0.399662 12
-1.190474 -1.094872 13
-0.672019 -1.565179 14
-0.592864 -1.577651 15
1.540479 -1.174352 16
-1.560641 -0.584289 21
-0.552366 -1.854381 18
0.668853 -1.422326 19
0.008525 -1.723827 20
-1.566243 -0.650491 21
0.558539 -1.571734 22
-1.453591 -0.672614 23
-1.030054 -1.483281 24
-0.533389 -1.659286 25
-0.433365 -1.629555 26
-1.054801 -1.639245 27
-0.292768 -1.899551 28
0.367722 -1.791486 29
1.763692 -0.223244 34
-0.861986 -1.630256 31
1.640696 -0.538581 32
-1.791145 -0.057825 33
1.797752 -0.216696 34
0.321906 -1.499371 35
1.56367 -0.770138 50
-0.397953 -1.616761 26
-0.426052 -1.575558 38
-0.923797 -1.24438 39
-1.096698 -1.348373 40
1.327382 -1.143351 41
1.361512 -1.056479 42
-0.037194 -1.562465 43
0.132974 -1.782594 44
0.288976 -1.717594 45
-1.196789 -1.375582 46
0.15498 -1.782555 47
1.55726 -0.999805 48
1.668411 -0.9464 49
1.610462 -0.87623 49
-1.524242 -0.575052 21
-1.413647 -0.783857 52
-1.604108 -0.172357 53
-1.359327 -0.897538 52
-1.522781 -0.723548 55
0.933538 -1.485015 56
0.999107 -1.240768 57
1.704009 -0.194081 58
1.53256 -0.190563 59
0.248221 -1.653549 60
-1.151205 -1.537719 61
1.678971 -0.131204 62
0.582774 -1.802602 63
-1.552495 -0.078252 53
1.736502 -0.825221 50
0.441059 -1.890789 29
0.425364 -1.755746 10
0.999846 -1.649427 56
0.351 -1.559744 35
-1.55857 -1.121606 1
1.495222 -0.387884 12
1.855329 -0.191417 34
1.655304 -0.663608 32
0.973898 -1.220694 57
1.516323 -0.363115 12
-0.490846 -1.823011 18
-1.36252 -1.206252 1
1.18839 -1.006286 4
-1.833831 -0.207748 33
1.483619 -0.410322 12
-1.644364 -0.457782 17
1.734938 -0.494017 0
-0.071709 -1.645725 20
0.885564 -1.591521 56
-0.562728 -1.611124 25
-1.173416 -1.503662 61
-1.046949 -1.385482 40
-1.582039 -0.096528 53
-0.695408 -1.64931 25
1.620848 -0.186217 58
0.390876 -1.476206 35
-1.570157 -0.628913 21
0.591189 -1.644959 22
-0.592797 -1.489156 15
1.257389 -0.823024 3
0.20426 -1.64096 60
-0.545507 -1.4356 15
0.276518 -1.759976 45
-0.163695 -1.766652 11
-0.128213 -1.777051 11
-1.699507 -0.122116 33
0.367088 -1.6974 45
0.177216 -1.819876 47
0.745414 -1.789083 63
-1.428297 -0.963476 54
-0.249243 -1.888115 28
-1.496772 -1.168367 1
1.506344 -0.45682 12
1.75959 -0.615505 0
1.163692 -1.238882 4
-0.5951 -1.677703 25
1.123914 -1.524692 56
