0.8513756571428568 0.4285704825396828 
0.8547864681318689 0.5514266659340682 
1.831287792929295 0.9440943030303038 
2.358929453900706 1.0434105106382976 
2.713851251336897 0.4720962834224599 
1.171627652941177 0.7459659588235289 
1.7391701062499993 1.0205904687499974 
2.1664713459715697 0.8385850568720387 
3.0125635918367317 0.524920469387755 
1.9517157499999995 1.0301377500000004 
0.48747833962264125 0.4100887735849055 
2.887914993548391 0.6348095612903221 
1.9411772758620662 1.1299201264367795 
0.9694810116731513 0.7529271828793781 
0.7830739544159558 0.7239466695156679 
3.143645666666663 -0.22506888396624547 
2.5174684412955504 0.9217179797570861 
2.5795238641425366 0.754603737193765 
3.1030556273972603 0.2119603753424658 
2.0112402735849058 1.1620785188679241 
2.693107420168066 0.7444509579831932 
1.4668537176165835 1.0599524404145073 
0.6566941391752588 0.553916208762887 
2.8635571079913578 0.32216958747300256 
0.6942619223602481 0.22559721739130442 
1.7082464953271024 1.1526424735202494 
0.5788377133550497 0.1311403127035831 
2.3350405000000007 0.795369875000001 
2.805127311320756 0.7426714056603783 
2.233717655462188 0.927165159663865 
2.9306237357954714 0.47815201988636213 
2.3409457999999983 0.931596000000001 
1.9093393076923075 0.9077926634615388 
3.009030636690648 0.06504902877697843 
0.5850507499999995 -0.024855499999999975 
0.4506802441558444 0.21901441558441573 
1.258780333333334 0.7615443333333332 
3.049714108312344 0.3420567455919396 
2.070230800000003 1.0075565999999998 
1.742684818897636 0.9077530275590565 
2.016299286738352 0.9030169462365589 
2.1797967003484335 1.0345079163763071 
2.548658500000001 0.6311115000000012 
0.6065096013289023 -0.20547501993355463 
2.445349021505374 0.7258284301075271 
1.1915965428571424 0.9523793301587304 
1.3427700722433473 0.9390589847908739 
1.0415441278195476 0.6915861315789469 
2.824078035587183 0.5149798790035591 
0.6329575980861254 0.42428297607655513 
3.0154357391304414 -0.17825426086956542 
2.681505702531645 0.5708816645569625 
1.8556751092437007 1.1064820924369756 
1.0671810551181067 0.8936097401574804 
1.146567619718311 0.8139373568075116 
2.9283629432176688 0.19419323343848618 
0.3636004501216538 -0.05778758637469574 
1.3747018103448283 0.8079732413793117 
2.71411098540146 0.6201376861313874 
3.118096711217182 -0.0036189737470167065 
0.4410258136094674 -0.20954049112426043 
2.6501531465517245 0.8505711034482755 
3.2375709268292687 -0.04447328455284548 
1.5633841428571433 0.9122455714285721 
0.894597 0.47909 0
0.836626 0.540135 1
1.855159 0.982728 2
2.410516 1.021271 3
2.643185 0.487639 4
1.198874 0.756141 5
1.788551 1.019807 6
2.118463 0.86992 7
2.979587 0.582003 8
1.946581 1.028924 9
0.473964 0.376703 10
2.869189 0.648587 11
1.977598 1.106632 12
1.027137 0.794693 13
0.852283 0.756129 14
3.136719 -0.023827 59
2.515197 0.874031 16
2.479713 0.786713 44
3.086994 0.205883 18
1.98656 1.177823 19
2.647549 0.605225 51
1.396442 1.051374 21
0.668724 0.514575 22
2.877444 0.369971 23
0.64958 0.222452 24
1.817292 1.116186 52
0.509432 0.125016 26
2.34509 0.832575 27
2.868153 0.685312 11
2.259986 0.94165 29
2.92879 0.547056 30
2.333228 0.908721 31
1.923042 0.938077 32
3.035266 0.065545 33
0.566261 -0.048659 34
0.485897 0.190118 35
1.262141 0.750204 36
3.092696 0.264297 18
2.051553 0.997196 38
1.850955 0.931083 2
2.00475 0.911766 40
2.170109 0.964672 41
2.542225 0.58404 42
0.582833 -0.121728 43
2.435599 0.737662 44
1.308102 0.922031 46
1.327404 0.901214 46
1.119955 0.766484 54
2.856469 0.537574 48
0.607898 0.376139 49
3.12038 -0.01231 59
2.693397 0.584809 51
1.887692 1.063596 52
1.045992 0.853774 53
1.139584 0.762489 5
2.971015 0.14083 55
0.361632 -0.103219 56
1.344226 0.770053 57
2.725293 0.592792 58
3.090417 0.030273 59
0.494546 -0.206699 60
2.569734 0.895766 16
3.198546 0.098663 59
1.551103 0.862322 63
0.441627 0.2043 35
2.061124 0.867822 40
3.270117 -0.019549 62
2.39822 0.793057 27
3.042072 -0.212608 50
1.190391 0.899367 45
1.153477 0.976473 45
1.668259 1.095768 25
2.985372 -0.263359 50
3.078182 0.226759 18
1.159093 0.821444 54
1.029079 0.612224 47
2.595748 0.823317 61
3.057481 -0.11533 50
3.195585 0.217265 18
2.53195 0.861128 16
2.891162 0.314307 23
1.17732 0.719809 5
1.086535 0.71432 47
2.323202 0.967391 31
1.451486 1.050419 21
0.720338 0.719253 14
0.544052 -0.276873 43
2.284107 0.941645 29
2.900151 0.54754 30
1.971591 0.935572 40
2.760501 0.479452 4
0.567747 -0.182083 43
2.327784 0.788755 27
2.847367 0.484803 48
2.625238 0.76692 17
0.833669 0.39261 0
2.529822 0.610584 42
1.873389 1.044998 52
3.093446 0.174109 18
3.10313 -0.214353 15
3.075219 0.253807 18
0.795046 0.782152 14
1.362534 0.926385 46
0.915761 0.528311 1
0.505287 -0.270632 60
2.975319 0.337889 37
2.540857 0.729323 17
3.155464 -0.17534 15
2.055069 1.040722 38
2.213653 1.035379 41
0.693523 0.299496 24
1.108927 0.892651 53
0.727225 0.558718 22
0.46045 -0.173207 60
0.513915 0.240406 35
1.119773 0.885964 53
2.934702 0.069973 33
0.375157 -0.190716 60
3.019415 -0.189829 50
1.075583 0.717995 47
3.036911 0.133687 33
2.584178 0.749855 17
2.209361 0.82336 7
3.160512 0.02099 59
3.10072 -0.274876 15
0.587925 -0.219753 43
1.596237 0.930857 63
0.796207 0.462889 0
2.088309 0.985077 38
0.656344 0.404706 49
0.729797 0.651898 14
2.819594 0.618371 11
1.523861 0.929849 63
0.813438 0.499488 1
2.598409 0.751378 17
0.681082 0.076383 26
1.741385 0.932117 39
2.197063 0.93677 29
3.091652 0.170022 18
3.058301 0.399367 37
0.334667 -0.250157 60
0.787727 0.519306 1
3.056859 -0.241483 50
0.737512 0.743334 14
2.845647 0.368477 23
0.712081 0.399883 49
1.234775 0.779705 36
0.433919 0.1522 35
1.008811 0.889493 53
1.113124 0.988766 45
1.807664 0.934041 2
2.606957 0.898282 61
2.556625 0.807275 17
2.617147 0.576172 51
1.927594 0.87982 32
3.003196 -0.08514 50
1.522712 1.048314 21
2.935967 0.258456 55
1.449523 1.127167 21
1.912534 1.173718 12
3.271144 -0.210341 15
2.862336 0.202858 55
0.537704 0.094801 26
3.111041 -0.085626 59
1.100086 0.90832 53
2.346189 0.754431 27
1.194445 0.800082 54
1.042943 0.73084 47
2.971048 -0.207461 50
1.772537 0.858228 39
2.954311 0.431861 30
3.039359 0.013921 33
2.052041 0.912156 40
0.708385 0.499492 22
0.767175 0.688618 14
2.998329 0.090914 33
2.997849 0.527987 8
3.070997 -0.259158 15
2.528742 0.999 16
1.936058 1.050049 9
2.813753 0.748004 28
2.817559 0.342899 23
0.892366 0.605376 1
2.92138 0.132071 55
0.981989 0.7069 13
2.774819 0.550149 48
0.407648 -0.059801 56
1.457127 0.999635 21
1.022645 0.68036 47
0.737806 0.531585 22
1.760962 0.925746 39
0.599614 -0.048371 34
0.409283 0.17561 35
0.97353 0.91857 53
1.141994 0.755274 5
1.279425 0.754724 36
2.769092 0.321366 23
1.746002 0.975604 6
3.068994 -0.139536 50
1.764458 0.917922 39
1.031616 0.880199 53
3.11543 -0.246048 15
3.176019 -0.235342 15
1.324055 0.805667 57
3.145178 0.336244 37
0.516094 0.013599 34
2.976822 0.549354 8
2.949605 0.422259 30
1.181048 1.007044 45
2.468129 0.743707 44
1.610168 1.165783 25
2.639357 0.942312 61
2.193195 0.911847 29
1.254659 0.884392 45
2.942258 0.522609 30
2.67866 0.645778 58
2.433767 0.684205 44
2.606005 0.768214 17
0.33807 -0.161682 56
2.165674 0.940389 29
1.454535 1.116077 21
0.913601 0.57317 1
0.441924 0.21629 35
2.843781 0.547739 48
1.744254 1.104869 25
2.450481 0.713141 44
2.016748 1.140571 19
2.834063 0.208999 55
3.185154 0.227714 18
1.799943 1.197661 25
0.733537 0.290693 24
0.550389 0.091737 26
0.589887 0.479238 49
1.99317 0.838228 40
0.929227 0.778333 13
2.688633 0.489903 4
0.757883 0.293873 24
2.790132 0.457715 48
2.887556 0.266205 23
1.36549 0.986902 46
3.284647 -0.201576 15
0.337991 0.033076 56
2.907768 0.531928 30
2.733823 0.543629 51
0.634515 0.605639 22
2.307051 0.807841 27
2.243251 0.858149 29
2.753024 0.774896 28
3.164613 -0.003183 59
0.66014 0.412315 49
1.748008 1.16384 25
2.953606 -0.122637 50
0.584315 0.513653 22
1.917023 1.146829 12
0.400588 -0.12108 56
1.440175 0.797649 57
3.27301 -0.152152 62
0.806276 0.776914 14
3.075592 -0.040451 59
2.995226 -0.295745 50
3.011753 0.012675 33
1.93326 1.054554 9
0.626703 -0.189479 43
2.657241 0.8771 61
3.011646 0.262782 37
0.961862 0.682913 13
2.565831 0.70298 17
3.116297 -0.015251 59
2.96532 0.400596 30
2.19484 1.091341 41
2.831914 0.477595 48
3.007922 0.082629 33
3.065949 0.32191 37
1.876442 0.905413 32
0.389024 0.034471 56
2.044635 0.916009 40
0.570165 0.474987 49
2.578628 0.71458 17
1.489524 0.982551 21
2.697155 0.804273 20
0.981532 0.649299 47
2.745696 0.611669 58
1.100758 0.915991 53
1.843897 0.91444 2
1.285585 0.93497 46
0.459061 -0.167056 60
3.065112 0.454074 8
3.023184 0.385574 37
0.786707 0.753854 14
2.898378 0.266352 23
2.033233 1.167509 19
2.046356 0.959571 38
1.03815 0.835998 53
0.73527 0.219011 24
3.208077 -0.060415 62
0.661399 0.195362 24
0.882929 0.507855 1
2.988368 0.349554 37
1.040192 0.828884 53
1.055578 0.752358 47
0.392923 -0.115525 56
2.489902 0.725421 44
3.242184 0.037777 62
3.249602 -0.074587 62
1.19429 0.737197 5
2.21116 0.795498 7
1.707319 0.885967 39
2.578115 0.649427 42
0.51264 0.453528 10
0.615986 -0.202915 43
1.716576 0.906833 39
0.849366 0.531738 1
2.927586 0.215691 55
0.851535 0.375876 0
0.657589 -0.121954 43
2.59986 0.821026 61
1.610616 0.991231 63
1.508324 0.859858 63
1.087624 0.900721 53
2.299208 0.774788 27
1.756737 1.003543 6
0.661726 0.178577 24
2.03305 0.920484 40
0.610342 0.099229 26
2.617839 0.748437 17
3.006676 0.05315 33
2.565319 0.783793 17
2.20515 0.785016 7
2.707997 0.76408 20
0.928034 0.744404 13
3.087379 0.320171 37
1.668675 1.183235 25
0.588198 0.193665 26
2.550241 0.946301 16
2.908209 0.490332 30
2.894515 0.329397 23
2.235725 1.076516 41
2.109366 0.858433 7
1.975354 1.083935 12
0.393889 -0.254022 60
2.544472 0.680395 42
1.39024 0.845066 57
0.518119 0.251596 35
1.157376 0.810814 54
0.46185 -0.163064 60
1.875692 1.141179 52
0.33858 -0.141718 56
2.139423 1.01696 41
2.721779 0.447631 4
2.89021 0.41914 30
0.779982 0.670682 14
2.697295 0.638198 58
2.751256 0.8375 61
1.380623 1.118696 21
1.770762 1.121578 25
3.047971 -0.030271 59
0.629114 -0.262579 43
2.986092 0.59604 8
2.705182 0.827996 61
1.009299 0.790149 13
2.92102 0.645935 11
0.689912 0.660834 22
3.120814 0.008876 59
2.929028 0.59103 11
2.796836 0.721854 28
0.534683 0.17828 26
1.504018 0.901565 63
3.000089 0.382407 37
2.378081 0.936452 31
0.928696 0.80834 13
0.479498 0.277619 35
1.869611 1.111386 52
2.280822 0.961432 29
0.632449 0.555655 22
1.359494 0.970224 46
1.156911 0.92182 45
3.065031 -0.081688 59
1.213865 0.876133 45
1.806231 0.95418 2
1.663 1.0032 6
