-3.197984577177693 -0.00026850393560724236 
-2.9503451051842005 0.5219851432455056 
-1.784963914958461 1.0179177417684653 
-0.9555277717188333 0.6375622227351262 
-0.6483663479323073 0.07047750678601022 
-2.5706248362392135 0.8295893858319437 
-2.123543906775183 1.0089251603908957 
-1.3918386475196276 0.9004039579112114 
-2.805403 0.47909 1
-2.863374 0.540135 1
-1.844841 0.982728 2
-1.289484 1.021271 7
-1.056815 0.487639 3
-2.501126 0.756141 5
-1.911449 1.019807 2
-1.581537 0.86992 7
-0.720413 0.582003 3
-1.753419 1.028924 2
-3.226036 0.376703 1
-0.830811 0.648587 3
-1.722402 1.106632 2
-2.672863 0.794693 5
-2.847717 0.756129 1
-0.563281 -0.023827 4
-1.184803 0.874031 7
-1.220287 0.786713 7
-0.613006 0.205883 4
-1.71344 1.177823 2
-1.052451 0.605225 3
-2.303558 1.051374 6
-3.031276 0.514575 1
-0.822556 0.369971 3
-3.05042 0.222452 0
-1.882708 1.116186 2
-3.190568 0.125016 0
-1.35491 0.832575 7
-0.831847 0.685312 3
-1.440014 0.94165 7
-0.77121 0.547056 3
-1.366772 0.908721 7
-1.776958 0.938077 2
-0.664734 0.065545 4
-3.133739 -0.048659 0
-3.214103 0.190118 0
-2.437859 0.750204 5
-0.607304 0.264297 4
-1.648447 0.997196 2
-1.849045 0.931083 2
-1.69525 0.911766 2
-1.529891 0.964672 7
-1.157775 0.58404 3
-3.117167 -0.121728 0
-1.264401 0.737662 7
-2.391898 0.922031 5
-2.372596 0.901214 5
-2.580045 0.766484 5
-0.843531 0.537574 3
-3.092102 0.376139 1
-0.57962 -0.01231 4
-1.006603 0.584809 3
-1.812308 1.063596 2
-2.654008 0.853774 5
-2.560416 0.762489 5
-0.728985 0.14083 4
-3.338368 -0.103219 0
-2.355774 0.770053 5
-0.974707 0.592792 3
-0.609583 0.030273 4
-3.205454 -0.206699 0
-1.130266 0.895766 7
-0.501454 0.098663 4
-2.148897 0.862322 6
-3.258373 0.2043 0
-1.638876 0.867822 2
-0.429883 -0.019549 4
-1.30178 0.793057 7
-0.657928 -0.212608 4
-2.509609 0.899367 5
-2.546523 0.976473 5
-2.031741 1.095768 6
-0.714628 -0.263359 4
-0.621818 0.226759 4
-2.540907 0.821444 5
-2.670921 0.612224 5
-1.104252 0.823317 3
-0.642519 -0.11533 4
-0.504415 0.217265 4
-1.16805 0.861128 7
-0.808838 0.314307 4
-2.52268 0.719809 5
-2.613465 0.71432 5
-1.376798 0.967391 7
-2.248514 1.050419 6
-2.979662 0.719253 1
-3.155948 -0.276873 0
-1.415893 0.941645 7
-0.799849 0.54754 3
-1.728409 0.935572 2
-0.939499 0.479452 3
-3.132253 -0.182083 0
-1.372216 0.788755 7
-0.852633 0.484803 3
-1.074762 0.76692 3
-2.866331 0.39261 1
-1.170178 0.610584 3
-1.826611 1.044998 2
-0.606554 0.174109 4
-0.59687 -0.214353 4
-0.624781 0.253807 4
-2.904954 0.782152 1
-2.337466 0.926385 6
-2.784239 0.528311 1
-3.194713 -0.270632 0
-0.724681 0.337889 4
-1.159143 0.729323 3
-0.544536 -0.17534 4
-1.644931 1.040722 2
-1.486347 1.035379 7
-3.006477 0.299496 1
-2.591073 0.892651 5
-2.972775 0.558718 1
-3.23955 -0.173207 0
-3.186085 0.240406 0
-2.580227 0.885964 5
-0.765298 0.069973 4
