1.6091083796625971 -0.5528130454977346 
-1.3006378652458488 -1.154573694160112 
0.30948272373346786 -1.6982198175068444 
1.3785094003496603 -1.052517189277376 
0.998778611842769 -1.382961391060864 
1.6893120400798582 -0.21467379332478248 
-0.5637109129788529 -1.6288290806026746 
-1.6509917384582447 -0.3714617029288729 
1.757181 -0.574882 0
-1.415069 -1.334518 1
1.358793 -1.298014 3
1.274233 -0.900829 3
1.309022 -1.124469 3
1.577081 -0.371964 0
-1.320212 -1.412346 1
-1.718445 -0.388723 7
1.796066 -0.016532 5
-1.687226 -0.710239 7
0.467559 -1.586733 2
-0.073598 -1.914745 2
1.504107 -0.399662 0
-1.190474 -1.094872 1
-0.672019 -1.565179 6
-0.592864 -1.577651 6
1.540479 -1.174352 3
-1.560641 -0.584289 7
-0.552366 -1.854381 6
0.668853 -1.422326 4
0.008525 -1.723827 2
-1.566243 -0.650491 7
0.558539 -1.571734 2
-1.453591 -0.672614 7
-1.030054 -1.483281 1
-0.533389 -1.659286 6
-0.433365 -1.629555 6
-1.054801 -1.639245 6
-0.292768 -1.899551 6
0.367722 -1.791486 2
1.763692 -0.223244 5
-0.861986 -1.630256 6
1.640696 -0.538581 0
-1.791145 -0.057825 7
1.797752 -0.216696 5
0.321906 -1.499371 2
1.56367 -0.770138 0
-0.397953 -1.616761 6
-0.426052 -1.575558 6
-0.923797 -1.24438 1
-1.096698 -1.348373 1
1.327382 -1.143351 3
1.361512 -1.056479 3
-0.037194 -1.562465 2
0.132974 -1.782594 2
0.288976 -1.717594 2
-1.196789 -1.375582 1
0.15498 -1.782555 2
1.55726 -0.999805 3
1.668411 -0.9464 3
1.610462 -0.87623 3
-1.524242 -0.575052 7
-1.413647 -0.783857 1
-1.604108 -0.172357 7
-1.359327 -0.897538 1
-1.522781 -0.723548 7
0.933538 -1.485015 4
0.999107 -1.240768 4
1.704009 -0.194081 5
1.53256 -0.190563 5
0.248221 -1.653549 2
-1.151205 -1.537719 1
1.678971 -0.131204 5
0.582774 -1.802602 2
-1.552495 -0.078252 7
1.736502 -0.825221 0
0.441059 -1.890789 2
0.425364 -1.755746 2
0.999846 -1.649427 4
0.351 -1.559744 2
-1.55857 -1.121606 1
1.495222 -0.387884 0
1.855329 -0.191417 5
1.655304 -0.663608 0
0.973898 -1.220694 4
1.516323 -0.363115 0
-0.490846 -1.823011 6
-1.36252 -1.206252 1
1.18839 -1.006286 3
-1.833831 -0.207748 7
1.483619 -0.410322 0
-1.644364 -0.457782 7
1.734938 -0.494017 0
-0.071709 -1.645725 2
0.885564 -1.591521 4
-0.562728 -1.611124 6
-1.173416 -1.503662 1
-1.046949 -1.385482 1
-1.582039 -0.096528 7
-0.695408 -1.64931 6
1.620848 -0.186217 5
0.390876 -1.476206 2
-1.570157 -0.628913 7
0.591189 -1.644959 2
-0.592797 -1.489156 6
1.257389 -0.823024 3
0.20426 -1.64096 2
-0.545507 -1.4356 6
0.276518 -1.759976 2
-0.163695 -1.766652 6
-0.128213 -1.777051 2
-1.699507 -0.122116 7
0.367088 -1.6974 2
0.177216 -1.819876 2
0.745414 -1.789083 2
-1.428297 -0.963476 1
-0.249243 -1.888115 6
-1.496772 -1.168367 1
1.506344 -0.45682 0
1.75959 -0.615505 0
1.163692 -1.238882 4
-0.5951 -1.677703 6
1.123914 -1.524692 4
-1.653198 -0.286334 7
-1.761234 -0.185407 7
-0.502002 -1.841709 6
-1.932561 -0.084044 7
1.887235 -0.081715 5
-1.482772 -0.259392 7
0.517963 -1.733806 2
-1.580422 -0.558797 7
-0.919641 -1.62483 6
-1.882813 -0.473378 7
-1.104609 -1.388977 1
-1.688466 -0.560052 7
1.368067 -1.239846 3
1.003006 -1.224293 4
-1.838002 -0.201284 7
-0.901671 -1.450084 6
1.836034 -0.057195 5
0.600224 -1.69188 2
0.343062 -1.839013 2
1.623432 -0.447689 0
0.671299 -1.708277 2
-0.367782 -1.631906 6
-1.656257 -0.24249 7
0.176964 -1.829092 2
-0.854473 -1.527447 6
0.633789 -1.789252 2
0.040058 -1.775853 2
0.687261 -1.735595 2
-0.672704 -1.499315 6
1.518582 -0.121733 5
-0.725332 -1.432865 6
-1.857392 -0.509551 7
1.267899 -1.106542 3
-1.051964 -1.468481 1
0.412597 -1.681352 2
-0.05313 -1.7532 2
-0.98965 -1.569274 6
-0.01902 -1.557005 2
1.145782 -1.430733 4
-0.325181 -1.786227 6
-1.276477 -0.851898 1
0.517625 -1.66833 2
1.363424 -0.630854 0
-1.111066 -1.476324 1
0.947986 -1.424566 4
1.345613 -0.941537 3
1.114734 -1.173477 4
1.268587 -1.307063 3
-0.686612 -1.567251 6
-0.689317 -1.729511 6
1.267709 -1.454369 4
-1.147662 -1.532714 1
1.375964 -0.610496 0
0.020359 -1.853289 2
1.229666 -0.945237 3
-0.179206 -1.511471 6
-0.73694 -1.797199 6
1.489567 -0.455183 0
1.669129 -0.017385 5
1.270616 -1.25087 3
-1.691756 -0.67282 7
1.347185 -0.857851 3
1.70635 -0.915041 3
1.369302 -1.337626 3
1.52611 -0.478487 0
-0.546508 -1.828265 6
0.644769 -1.525766 2
0.692303 -1.679223 2
1.571925 -0.592938 0
1.661731 -0.545705 0
-0.648031 -1.83909 6
-0.171457 -1.845488 6
0.8617 -1.227252 4
0.704584 -1.776559 2
1.778928 -0.23149 5
0.983846 -1.158866 4
1.255173 -1.108801 3
-0.747339 -1.472812 6
-0.004776 -1.674667 2
-1.357779 -1.213672 1
1.145352 -1.524888 4
1.246313 -0.935875 3
0.632688 -1.483893 4
-0.057976 -1.776735 2
